,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
1345,67.6,0.175,-8.45,-0.0694,1.51,-0.871,1.36,3.82,5.05,-2.88,90.0,67600000000.0,-0.21718699582873918,-11.702754126350147,-0.14586218211888066,1.6207301262055283,-0.9370356343475059,1.3329692243523374,2.6112393460580368,0.6848742089398625,-2.078011515135991
1346,67.6,1.05,-3.89,-0.369,0.852,-1.36,0.7509999999999999,3.89,5.41,-3.47,90.0,67600000000.0,0.28041630734056877,-8.358387962520666,-0.25106082760949183,1.015033996304341,-1.2190972999775123,0.910856713667147,3.175005712562322,2.654437758570456,-2.8117739926926095
1347,67.7,1.05,-3.62,-0.611,-0.0681,-1.06,0.414,3.66,5.25,-3.79,90.0,67700000000.0,0.5826190441708139,-6.33005010468159,-0.42075467855734305,0.1616134726580052,-1.1130002674730506,0.5504778146998505,3.388824844640826,3.7363401613116434,-3.3274287583701403
1348,67.7,0.855,-3.72,-0.9309999999999999,-0.9,-0.76,0.0563,2.56,-0.158,4.88,90.0,67700000000.0,0.6895785366359577,-5.212779147941795,-0.6613105803603166,-0.6748506307816546,-0.8775954655102585,0.19204196445875343,3.0234213865207686,2.113071060601742,0.9989742871927945
1349,67.8,-0.251,-9.85,7.72,-1.58,-0.133,-0.493,-6.61,-7.21,7.61,90.0,67800000000.0,0.3202289461916304,-7.197811025949406,3.2900704756937396,-1.3880339390221876,-0.38104812770948515,-0.3048310063913484,-1.2236584599510318,-1.7730438094881333,4.48386130833671
1350,67.8,-8.77,-16.3,8.93,0.38799999999999996,-0.611,-0.0311,2.66,1.25,-0.95,90.0,67800000000.0,-3.249353414640305,-11.094138772412068,5.949023658478912,0.011334774431678296,-0.5343958127391186,-0.10628909858129143,0.4885273824377381,-0.5129552210227177,1.6194960575017192
1351,67.9,0.915,-7.53,1.25,0.648,-1.27,0.8420000000000001,3.65,-2.54,2.93,90.0,67900000000.0,-1.6140808698905318,-9.56845597486693,3.733662068804171,0.5129746220480694,-1.0249471375199597,0.5815216478859063,1.8823236589039223,-1.357883745780551,2.310305399224769
1352,67.9,0.555,-12.6,5.86,-0.616,1.25,-0.616,5.82,-0.795,-3.05,90.0,67900000000.0,-0.7623187752461549,-10.866153881361685,4.736127265318464,-0.37656454430165076,0.4921436843913476,-0.2870618366787887,3.6183243648292756,-1.1232581801719468,-0.5152861176118075
1353,68.0,3.75,-9.25,-0.8190000000000001,-0.0266,0.8009999999999999,0.0581,2.38,2.61,-4.3,90.0,68000000000.0,1.0095939885352505,-10.174335050059563,2.117154372979059,-0.10082125985547907,0.698110263800847,-0.03670989337419095,3.0723852136892877,0.4328674319268766,-2.510332160202281
1354,68.0,-0.204,-6.72,-2.74,-1.39,2.0,-0.764,-1.21,-5.18,-1.48,90.0,68000000000.0,0.5330357534718652,-8.695655197869971,-0.17275817826546902,-1.1165880893782778,1.5662996548217796,-0.564226182316399,1.1844130056761744,-1.9067314720100332,-1.9672105343679225
1355,68.1,-3.73,-14.3,-0.795,-1.23,1.79,-0.632,1.46,1.03,0.336,90.0,68100000000.0,-1.140987708538033,-11.0946788600914,-0.4661150048150451,-1.205947364355109,1.7154783662998039,-0.6133837439007135,1.3059108690387882,-0.6826202740177543,-0.7531132567328238
1356,68.1,-0.589,-8.54,0.0742,-1.76,0.872,-0.799,0.074,0.33799999999999997,1.34,90.0,68100000000.0,-0.924231282721636,-10.001110363852437,-0.21138270549164673,-1.6424952751532902,1.1529891116180426,-0.7480144929861781,0.7627991812949755,-0.25719740855715734,0.35023492372417575
1357,68.2,-1.53,-9.29,0.36200000000000004,-1.56,0.223,-0.721,1.68,0.713,2.61,90.0,68200000000.0,-1.162106602443842,-9.6967089247868,0.05893940584421331,-1.5774957366593922,0.5328085742204347,-0.7284204180975913,1.1671648452929442,0.14720780669102557,1.5414306326246932
