,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
1382,69.2,-4.06,-8.35,6.13,-1.01,0.0947,-0.603,-0.682,-0.674,1.05,0.0,0.0,0.0,1.0,30.0,69200000000.0,-4.219176282564594,-8.563925214960939,6.042012110009098,-1.068345581580429,0.22694708421465715,-0.6138385452440186,-0.7750620575940146,-1.1392102024618707,0.6614639096418173
1383,69.2,-2.33,-8.58,6.14,-0.46,0.0959,-0.685,0.779,-0.595,1.37,0.0,0.0,0.0,1.0,30.0,69200000000.0,-3.123637982459884,-8.575909913775703,6.102068330103896,-0.6060772990707295,0.13455986038720352,-0.6652403873528053,0.08142546831516839,-0.8334113404208676,1.10944866946738
1384,69.3,-3.79,-8.93,5.56,-0.191,0.263,-0.599,-0.902,-0.7709999999999999,0.9420000000000001,0.0,0.0,0.0,1.0,30.0,69300000000.0,-3.5100630331099265,-8.839906404251552,5.769837247913623,-0.2906692830397744,0.22510921505249687,-0.6173931503053407,-0.46056811505722417,-0.7983416020388454,1.0035762021453212
1385,69.3,-3.72,-8.65,4.84,0.0596,0.152,-0.23399999999999999,-0.943,-0.42,0.28600000000000003,0.0,0.0,0.0,1.0,30.0,69300000000.0,-3.631806044608576,-8.698319040782769,5.199944607677657,-0.024507439008235765,0.17356775678431924,-0.34045792294518534,-0.7264499758534817,-0.5857464670428274,0.549875679610966
1386,69.4,-3.78,-8.68,5.9,0.185,-0.0171,-0.0971,-1.08,-0.44299999999999995,1.31,0.0,0.0,0.0,1.0,30.0,69400000000.0,-3.7177440894451133,-8.684661279861672,5.629005216462514,0.13469261005325428,0.03914840069895903,-0.1646739215662974,-0.9213014129690364,-0.5055353414407318,1.030477991639028
1387,69.4,-2.65,-8.66,5.39,0.366,-0.11,-0.0671,0.0244,-0.486,0.69,0.0,0.0,0.0,1.0,30.0,69400000000.0,-3.0985565611162835,-8.666274642508851,5.48251999812311,0.31045795304861606,-0.06600011608142056,-0.09419364559879911,-0.4000986287669519,-0.4945581766765574,0.8152046224663043
1388,69.5,-2.7,-8.04,5.35,0.462,-0.0837,0.0196,-0.0654,0.0439,0.469,0.0,0.0,0.0,1.0,30.0,69500000000.0,-2.867432598986356,-8.19934777360036,5.401299076368869,0.4256113963961258,-0.07847840394974513,-0.011997422375316397,-0.2156367505532587,-0.19199143657388756,0.5963104962824035
1389,69.5,-4.03,-8.12,5.99,0.659,-0.147,0.159,-1.39,-0.179,0.872,0.0,0.0,0.0,1.0,30.0,69500000000.0,-3.5416085900972476,-8.140188969864566,5.762110873323361,0.6029581943568592,-0.12678562128900264,0.11151862930749985,-0.8628615296762085,-0.18469138019138615,0.7706201575117331
1390,69.6,-3.9,-7.59,5.66,0.65,-0.10300000000000001,0.33799999999999997,-1.18,0.138,0.268,0.0,0.0,0.0,1.0,30.0,69600000000.0,-3.749440759187537,-7.729988861678099,5.699527521415487,0.6387041989900628,-0.11001693463210213,0.2751122388295298,-1.037645477535119,-0.0033668468821287934,0.45282947739748775
1391,69.6,-2.61,-7.27,5.51,0.597,-0.445,0.445,0.21899999999999997,0.226,-0.142,0.0,0.0,0.0,1.0,30.0,69600000000.0,-3.0886760288522956,-7.387038436798805,5.583367164206959,0.607014107097922,-0.34617750821917853,0.3978267511398188,-0.34507263021480594,0.12551740213344534,0.07673778004474197
1392,69.7,-4.22,-7.88,6.36,0.665,-0.318,0.433,-1.36,-0.611,0.43,0.0,0.0,0.0,1.0,30.0,69700000000.0,-3.744733630120738,-7.754572140049064,6.059361739598545,0.6510763148629275,-0.32631256583944707,0.42323333739081204,-0.9044278044377659,-0.2883414242997623,0.30009421178456935
