,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3221,161.12129290000001,-5.3362936969999994,-4.736293316,7.248158932000001,161.16867219999997,-0.1069021225,-0.4453992844,0.03967380524,166.0526747,-0.41720867159999997,0.4191939235,-0.1330883503,0,0,0,1,32,,,-5.711789379909048,-5.244334905570462,7.044237529796815,-0.2849379917478658,0.34708233922710396,-0.04721574098644957,-0.09491894862724282,-0.4188933260776459,0.153070451839904
3222,161.1712929,-5.738287926,-4.800899506,7.398906707999999,161.2186722,0.4586844444,-0.2951683998,-0.48942565920000003,166.10420980000004,-0.686057806,0.6316924095,-0.35940724609999997,0,0,0,1,32,,,-5.726588747566793,-4.945877433774678,7.224173179309826,-0.5794508778981345,0.5455592552821118,-0.26730521783846134,0.19336796721861466,-0.3585096870637783,-0.18420907926815702
3223,161.2212929,-5.020142078,-3.699602842,7.391728401,161.2686722,0.41407060619999997,-0.2804687023,-0.7838697433,166.155745,-0.8856521845,0.7562289238,-0.6578061581,0,0,0,1,32,,,-5.332040153764784,-4.10706311321484,7.309179600928053,-0.8042720593474992,0.6924727712758874,-0.5426014582344405,0.3082980487866488,-0.32042198078286654,-0.4990020626584488
3224,161.2712929,-4.898108006,-3.3693933489999996,7.461120128999999,161.31867219999998,0.9680600166,-0.8154804707,-0.7268724442,166.2072801,-1.034698844,0.8220477104,-0.8489249945,0,0,0,1,32,,,-5.089690198182352,-3.6105690287070265,7.386264160957796,-0.9734575619519064,0.7828337142074991,-0.7585541210398017,0.6518666491397695,-0.5620340313639742,-0.6186230441798405
3225,161.3212929,-3.933202267,-3.122633457,7.767700672,161.3686722,0.735912323,0.49011492729999995,-1.285104752,166.2588152,-1.090667725,0.6968240142000001,-0.9815551639,0,0,0,1,32,,,-4.443794751246469,-3.2821603876947267,7.57977978242434,-1.0595163954041054,0.7228536158447739,-0.9157659030578733,0.6956331224142462,-0.04853537894803661,-0.9684938588212433
3226,161.37129290000001,-3.97627306,-1.176371455,7.832306862,161.41867219999997,0.6937603951000001,0.3093004227,-1.261698246,166.3103503,-1.093569279,0.4588989913,-1.03202641,0,0,0,1,32,,,-4.182685124766289,-1.8648435902681,7.707895296497186,-1.084518932275923,0.538781071272338,-0.9977274995584554,0.6946579065777507,0.12610548383530043,-1.1224120484119706
3227,161.4212929,-4.120141506,-1.0208379029999999,7.7772717479999995,161.4686722,0.8306012154000001,0.7443751097,-1.247231483,166.3618855,-1.091736794,0.2990860939,-0.9227611423000001,0,0,0,1,32,,,-4.147754679432522,-1.296779327419578,7.743092312656565,-1.0898184788718437,0.3716263396985885,-0.9448775465977332,0.7654498809607109,0.4278504193648892,-1.1879362435066096
3228,161.4712929,-3.969094515,-0.1779661775,8.069195747,161.5186722,1.0998344420000001,0.4475485086,-2.4403676990000003,166.4134206,-1.110138535,0.180199936,-0.8270871639,0,0,0,1,32,,,-4.047973450668522,-0.5437538716677951,7.90853559608746,-1.104738007429921,0.23813239054667085,-0.8618374149000164,0.9395794023072936,0.4374640222837837,-1.845402470456928
3229,161.5212929,-3.43758893,-0.2066800594,6.817151546,161.56867219999998,0.8565809727,0.8009623884999999,-1.089346886,166.4649557,-0.8930587173000001,0.23028941449999998,-0.6387935281,0,0,0,1,32,,,-3.707075312468072,-0.31688385222792553,7.354839616751696,-0.9493174161963858,0.23266297868822347,-0.7045954286217915,0.896358277581665,0.6148684854824418,-1.4485096819229462
3230,161.5712929,-3.75134778,-0.1037886813,7.805985451000001,161.6186722,0.8010840416,0.33011966940000004,-0.7607555389,166.5164908,-0.832126677,0.11155597869999999,-0.46913069490000003,0,0,0,1,32,,,-3.7318013684621985,-0.17345857322445551,7.583721131435199,-0.8632728439949792,0.14820727459188027,-0.538596965440057,0.8467445721806249,0.4758975421447637,-1.0874718625738788
3231,161.62129290000001,-4.122534275,-0.5060819983,8.174480438,161.66867219999997,1.5547022819999998,0.42357403039999997,-0.7233448029,166.5680259,-0.5732038021,0.025273805479999998,-0.338409394,0,0,0,1,32,,,-3.9500246619913266,-0.3973332267422426,7.883433274970682,-0.6502964023678502,0.06247785607999494,-0.3974682763458326,1.2154109265775543,0.45036118386591467,-0.8963226838335455
3232,161.6712929,-3.5045878889999997,-0.5946164131,8.255836487,161.7186722,0.5677261353,0.6479002237,-1.233483315,166.619561,-0.1611109674,0.08880192041000001,-0.2179961205,0,0,0,1,32,,,-3.7012494037966364,-0.530116132750669,8.072365998666378,-0.29112338425365686,0.08083532003673108,-0.2709435879690844,0.8781314711525007,0.5467696153301801,-1.0733157853849233
3233,161.7212929,-4.56042099,-0.9849455953,7.465905666,161.7686722,0.3964452744,0.7706735134,-0.7419095039,166.6710962,0.09307785332,0.004046862945,-0.06856760382999999,0,0,0,1,32,,,-4.181094459286773,-0.8362424625245212,7.764688194735008,-0.009032569199678708,0.027285787735362353,-0.1282721066956992,0.6272951688050693,0.6560453495216749,-0.8993434401893713
