,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
25,1.31,0.618,3.0,7.99,-0.727,0.871,0.94,0.32899999999999996,-1.64,-0.643,1310000000.0,1.166507893669034,3.522856802835702,6.947134779851961,-0.5567037709707623,1.1876186934223103,0.9135334876039513,0.24677996514464437,-1.2093772237834723,-1.5944392654744015
26,1.36,-0.0742,3.32,8.55,-0.24,1.84,0.134,0.129,-1.06,-0.22,1360000000.0,0.7179809100505467,3.433817025586936,7.610832093880345,-0.3182295472634646,1.6253338658539107,0.355742755438882,0.19781228145312524,-1.144882713673585,-0.9632621454943187
27,1.41,-0.462,3.44,9.2,-0.165,1.11,0.37799999999999995,0.396,-0.9640000000000001,0.483,1410000000.0,0.2914072677494939,3.4365309379157414,8.268857613104304,-0.20284950288267567,1.279570687364417,0.3716687933445755,0.2802099357271439,-1.0667855439539513,-0.2991021463303398
28,1.46,-0.606,3.69,10.7,-0.5589999999999999,0.271,1.14,0.35600000000000004,-0.47600000000000003,1.91,1460000000.0,-0.03301347685990458,3.5477859028948764,9.275518892747208,-0.47102665550355965,0.6028703186843649,0.9214437895140147,0.3117200824584196,-0.8117104530571546,0.7153731696845884
29,1.51,-1.64,2.79,10.2,-0.6779999999999999,0.389,0.902,-0.976,-1.19,1.27,1510000000.0,-0.613953452402175,3.215171624029058,9.65831803296085,-0.6268751327781268,0.459374056125174,0.9075309041505152,-0.22365676625144487,-0.9750391904408485,0.9700717670496513
30,1.56,-2.84,2.62,12.6,0.299,2.04,0.527,-1.56,-1.13,3.64,1560000000.0,-1.418689129989211,2.953933445975324,10.876378301886954,0.07029796348292283,1.5198947953018591,0.6352441963487292,-0.7792489343764946,-1.0419444194291487,2.1961700892603258
31,1.61,-3.09,2.67,10.5,0.892,0.643,1.11,-1.8,-1.76,1.87,1610000000.0,-2.022882905576612,2.829306835889801,10.720531612373803,0.6890299603252245,0.931542354636437,0.9749530102001751,-1.2036318931359662,-1.3519690896754415,2.0463845734167583
32,1.66,-3.43,2.28,9.2,0.136,1.53,0.7090000000000001,-1.89,-2.37,0.705,1660000000.0,-2.531568326837271,2.5882000843439417,10.09092611538869,0.2726049014294921,1.3330774122267426,0.7846518466673735,-1.4889932758815396,-1.7915098084249168,1.4303869932382953
33,1.71,-1.76,0.067,5.95,-1.22,3.02,-0.39299999999999996,0.7659999999999999,-4.48,-2.36,1710000000.0,-2.2526394820702755,1.4815720750904917,8.376295773809886,-0.8513090793630645,2.4649178831492407,-0.05801021053756117,-0.5514671896492499,-2.952281097778395,-0.31025410878106063
34,1.76,0.0814,-2.92,3.24,-3.78,1.98,-1.64,3.77,-6.45,-5.13,1760000000.0,-1.4088633632743852,-0.45040589878928117,6.249513525180644,-3.0565789218531614,2.139562307370045,-1.1899939582189454,1.2452070157141701,-4.462441500240417,-2.523602836998178
35,1.81,-2.5,-4.32,7.87,-2.98,3.2,-3.21,2.58,-5.64,-0.40700000000000003,1810000000.0,-1.803319002803558,-2.1488833168383685,6.9205071329419345,-2.998915907524554,2.8510628668211693,-2.635397770938729,1.8001546510033974,-4.97085917558157,-1.5516055200649168
36,1.86,-5.56,-3.84,8.66,-1.19,2.15,-3.17,0.7759999999999999,-3.41,1.18,1860000000.0,-3.1613927149393417,-2.8911635532939384,7.640777615122509,-1.6368235190316904,2.3806848944640686,-3.0179293970201453,1.3743566222304489,-4.29694918292731,-0.29718350682356953
37,1.91,-8.83,-2.93,6.47,-1.57,0.8590000000000001,-2.64,-2.15,-1.03,-0.45,1910000000.0,-5.210644849377661,-2.9082100280563052,7.155994493310973,-1.5865062335783713,1.3597106371155179,-2.7475042506847562,-0.09091444314334107,-2.8864248546226388,-0.36736068297357544
38,1.96,-10.6,-2.97,7.21,-1.57,-0.0428,-1.87,-4.11,0.276,0.6579999999999999,1960000000.0,-7.158945008596045,-2.9353314555759367,7.17835652995296,-1.5740772730651356,0.4186963122863968,-2.1196110996054625,-1.761871852747554,-1.521029528495519,0.10351075798447967
39,2.01,-10.9,-3.31,6.59,-0.677,0.247,-1.57,-4.68,0.83,0.247,2010000000.0,-8.511369662857103,-3.099784346472328,6.934736233016085,-0.8985886127374956,0.3034966905367759,-1.7263400540565768,-2.975099919685598,-0.5059588591219311,0.16940462822131414
40,2.06,-9.14,-4.42,6.48,-0.166,0.498,-1.73,-3.14,0.391,0.391,2060000000.0,-8.73862526838316,-3.6792654098425417,6.746443939891323,-0.3469579872750861,0.43399865718071134,-1.7289589211196157,-3.0436580962371034,-0.11869165230064876,0.2711668039737153
41,2.11,-9.82,-5.72,4.58,-0.265,1.12,-1.57,-4.03,-0.402,-1.28,2110000000.0,-9.129551781704496,-4.575003054886841,5.849386042968616,-0.28524457473037823,0.8942711692175533,-1.615216810578119,-3.45373536008474,-0.2410116839542968,-0.44116803804320937
42,2.16,-10.3,-7.3,5.37,-0.44299999999999995,0.7390000000000001,-1.02,-4.6,-1.45,-0.0434,2160000000.0,-9.552679335285205,-5.771083515294141,5.6508869656941085,-0.40403254858992593,0.7900920141201915,-1.1893128078515205,-3.930301271248967,-0.7629994435604603,-0.258502939432978
43,2.21,-10.8,-7.55,4.61,-1.0,-0.00733,0.257,-5.1,-1.43,-0.545,2210000000.0,-10.003596964823302,-6.551901758438903,5.219887712709113,-0.8527890395116501,0.255061820880366,-0.15441193968448252,-4.416610036234717,-1.0509807915848441,-0.3900696113776311
44,2.26,-8.98,-7.18,5.69,-1.07,0.5529999999999999,0.976,-3.09,-0.956,0.917,2260000000.0,-9.633557354423433,-6.82759226054756,5.4145467890268675,-1.016346380984034,0.45496338423254445,0.6544478749722361,-3.8650644400728993,-1.0099722694812479,0.2101696645381519
45,2.31,-5.84,-6.12,8.02,0.41100000000000003,1.65,0.321,0.514,0.0296,3.77,2310000000.0,-8.262152544269595,-6.517009396982996,6.493385093245809,0.0584286889233081,1.256773025096631,0.415851159601807,-2.0444438475798226,-0.5611308941797017,1.844933383247476
46,2.36,-5.4,-5.35,5.19,0.376,0.748,0.273,1.3,0.574,1.18,2360000000.0,-7.227458871028347,-6.004775005046359,5.953693400055322,0.29755614640683054,0.9154118495105528,0.3136348296438487,-0.6539725864594066,-0.07103152632257531,1.5395792063828848
47,2.41,-5.02,-4.88,3.28,0.15,0.0648,0.207,1.83,0.903,-0.685,2410000000.0,-6.429442766608539,-5.511078607603629,4.846599108111398,0.18644810578482385,0.34469394444281165,0.23733288798452978,0.37875296110775514,0.3495122505828451,0.5179964182523848
48,2.46,-4.15,-5.1,2.33,-0.22,-0.315,0.289,2.77,0.6,-1.64,2460000000.0,-5.605403882392583,-5.330644214537653,3.8045527155463215,-0.11960254300021589,-0.09792761738729872,0.274302998118878,1.372927316616768,0.45766180395726613,-0.47300986933307065
49,2.51,-4.98,-5.51,2.21,-0.8959999999999999,-1.07,0.462,1.89,0.172,-1.86,2510000000.0,-5.379314800084925,-5.409368783232235,3.1442974490201974,-0.7042207296989643,-0.7501394871487749,0.40860852460743735,1.587903177860507,0.33432566071791137,-1.1099506686653497
50,2.56,-7.39,-5.4,3.74,-1.03,-0.5539999999999999,0.826,-0.539,0.289,-0.373,2560000000.0,-6.10619540977552,-5.405256593774371,3.3909595746676415,-0.9495286722223422,-0.6185397380242341,0.7072705930459069,0.7036312672510101,0.3147560449664013,-0.7715243631495154
51,2.61,-8.92,-5.45,4.22,-0.603,0.0189,1.14,-1.86,0.0765,0.257,2610000000.0,-7.123410927872766,-5.424895691768374,3.7342396532878297,-0.6885966410924105,-0.1908496316982916,1.0169076383131346,-0.3622128115832126,0.21188761082555718,-0.29920007741725857
52,2.66,-9.66,-4.73,4.87,0.0272,0.537,1.76,-2.2,0.392,1.1,2660000000.0,-8.040410477518673,-5.119885779942068,4.204523065994565,-0.14961017753303107,0.29750098126246355,1.5486231265353125,-1.1262831589249895,0.28965217827023154,0.3433478412918182
53,2.71,-8.59,-4.12,3.17,0.0437,-0.249,2.81,-0.5,0.0576,-0.473,2710000000.0,-8.239092053648887,-4.681006793547763,3.776158884632924,-0.004049885591320329,-0.069173777363082,2.4511941027279733,-0.8659024242162885,0.18946229985830684,-0.03153963867510956
54,2.76,-8.8,-4.1,3.78,-0.127,-0.528,1.3,-0.27,-0.535,-0.585,2760000000.0,-8.441865354887613,-4.425985979745243,3.7777493606305734,-0.09662988067122107,-0.3770231679032853,1.6274637037357813,-0.6181526547591557,-0.12332852415368942,-0.2857025630128642
