,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
2596,130.0,-7.58,-25.9,-12.9,-1.92,-1.29,-2.74,-6.91,-22.1,-21.9,,,,,150,130000000000.0,-0.6842414624278361,-21.930137742120795,-6.092356660559934,-1.4081237965911164,0.3029087000992371,-2.71702606619307,0.16247587220090942,-18.978387966800515,-15.553021619111838
2597,130.0,-12.2,-20.7,4.1,-0.43700000000000006,0.653,-1.3,-11.6,-16.0,-4.48,,,,,150,130000000000.0,-5.019342131938373,-21.249488582161135,-2.0490625164768845,-0.7721567582535561,0.4179440300311375,-1.8800201585967555,-4.253425673661594,-17.22497090336505,-10.926215795210352
2598,130.0,-11.1,-5.05,4.57,-1.1,0.684,-2.96,-10.9,0.14400000000000002,-3.75,,,,,150,130000000000.0,-7.308402466019433,-12.286122427004589,0.5767107514702592,-0.9868539088836348,0.5053664775464368,-2.5179403284626503,-6.748700947749888,-6.99962407653074,-7.9276704808276826
2599,130.0,-11.6,1.98,4.04,-0.893,0.159,-1.04,-11.6,7.53,-4.04,,,,,150,130000000000.0,-8.923972056505686,-4.392510233290309,1.9505929242572726,-0.9253911079217342,0.39155507176931514,-1.6449537223492774,-8.569989272316752,1.5541612036122618,-6.3032271040948356
2600,130.0,-5.19,7.69,3.05,-0.413,-1.92,2.76,-5.41,13.5,-4.87,,,,,150,130000000000.0,-7.51832042449826,2.2928838477112645,2.3867262139515772,-0.5898377350520982,-0.3679910741886512,0.9569547705191903,-7.383657254686452,8.586837206912318,-5.704360391717756
2601,130.0,2.92,-3.32,4.74,1.27,0.32,1.29,2.86,2.36,-3.26,,,,,150,130000000000.0,-3.5888206183497844,-0.8127903130639584,3.3202666697095085,0.6281279826161603,-0.1419263874743355,1.153677180863708,-3.5379550005464813,4.921014313629412,-4.682996815564404
2602,130.0,-5.47,-10.2,4.52,1.43,-0.23399999999999999,1.72,-5.0,-5.17,-3.89,,,,,150,130000000000.0,-4.296989445942513,-6.0068429804399335,3.7961992610271147,1.1532558229945677,-0.1721805474114142,1.4881915306901667,-4.086840000096859,-1.0197016091761917,-4.351647168490224
2603,130.0,-4.77,-46.2,-1.77,3.36,2.97,6.86,-3.48,-42.2,-10.7,,,,,150,130000000000.0,-4.475053992378384,-28.246186682627297,1.5880955064303435,2.598402678763511,0.8602980726647309,4.661199770276886,-3.859018446837099,-25.26309770748634,-7.004274069391061
2604,130.0,-10.4,-19.3,-5.96,0.303,-0.0055,3.65,-8.27,-16.9,-15.2,,,,,150,130000000000.0,-6.705496398092707,-23.29615666749919,-1.4062238464260495,1.0951953057848567,0.5758083758852738,4.063906542318575,-5.5150015800437515,-20.339629356211525,-10.428816434974214
2605,130.0,-0.33799999999999997,-10.4,-4.8,-0.821,-2.32,1.07,1.59,-8.25,-14.2,,,,,150,130000000000.0,-4.308456006208669,-16.160562330736667,-2.752530358713205,-0.15967771155384836,-0.3757156039361178,2.2954723587357795,-2.8476221157684147,-13.222301915970966,-12.004586250063284
2606,130.0,12.8,-4.09,-5.39,-1.02,-0.40700000000000003,-1.72,13.9,-1.48,-14.8,,,,,150,130000000000.0,2.132012582994654,-9.481779279872327,-3.7988109659274505,-0.7230833362704694,-0.38599524086723735,-0.07637815064073994,3.439816609808706,-6.309450823523052,-13.172635764287104
2607,130.0,5.64,5.39,8.39,-0.331,1.37,-5.9,6.83,8.77,-0.732,,,,,150,130000000000.0,3.45259239747753,-1.253050159144145,1.036474090555834,-0.46631681430284333,0.19100137158385966,-3.5162625138216574,4.71256865739943,2.568025005206966,-7.974379306634336
2608,130.0,-27.9,2.49,-1.22,1.07,-2.7,2.28,-29.1,5.46,-10.5,,,,,150,130000000000.0,-8.350073006387468,0.818023222208077,0.14133384168966945,0.5397824055951892,-0.7589431283540725,-0.09253877677081679,-7.981440041808771,4.270569611990887,-9.029697083038736
2609,130.0,0.7759999999999999,-5.72,1.06,-0.126,3.74,3.36,1.89,-2.72,-8.21,,,,,150,130000000000.0,-4.91456801334631,-2.799541281989128,0.5057674486917347,0.10377654285611587,0.7193495701170406,1.9467992680666462,-4.275476574827135,0.1551272224853939,-8.687190836945355
2610,131.0,-0.0694,-4.16,-15.2,-1.29,-0.9490000000000001,-0.26,2.42,-3.03,-8.23,,,,,150,131000000000.0,-3.090607273951643,-3.5522988979184755,-5.724689303507744,-0.8089762130659235,0.17115215712028498,0.6432918745329619,-1.7618421107622027,-1.7200000051311186,-8.496155777012891
2611,131.0,10.6,-38.9,-11.6,1.04,3.35,-1.7,12.3,-35.4,-20.6,,,,,150,131000000000.0,2.0632141788338147,-23.11059566275249,-8.055417307796445,0.4018765266591211,1.215679120602169,-0.7408387091668012,3.5172938311682094,-21.547869987580224,-13.553685756662304
2612,131.0,-4.18,-17.3,-6.42,-1.19,-1.14,-4.08,-2.48,-13.6,-15.4,,,,,150,131000000000.0,-0.2870401776084557,-19.895524786138516,-7.406649491151514,-0.6406074972246518,0.4416343914188402,-2.713207203731371,1.26577309581204,-16.86885223010362,-14.325158624448562
2613,131.0,-17.2,-24.2,4.13,-2.08,0.867,-1.29,-16.4,-19.3,-4.34,,,,,150,131000000000.0,-6.653914555187788,-22.27724162520623,-2.830076105568736,-1.5832330901265643,0.5814038506243823,-1.8725502408706207,-5.366360424013406,-18.300101178606994,-10.15291088224022
2614,131.0,-14.0,-6.13,5.15,-1.95,-0.0593,-3.61,-13.2,-0.5579999999999999,-2.88,,,,,150,131000000000.0,-9.41934423605924,-13.342784279421515,0.33560939279494084,-1.8234204875754054,0.37087711184162964,-2.8988232294177614,-8.307287106884917,-7.855087552038707,-7.113962064778049
2615,131.0,-9.85,-0.0287,2.78,-0.521,0.41100000000000003,-0.619,-9.6,6.11,-4.86,,,,,150,131000000000.0,-9.581464496668092,-5.975945924011377,1.3052958484313746,-0.9704947422040129,0.3840609620316625,-1.552182205767138,-8.792601119384168,0.3663474366762305,-6.172155522073684
2616,131.0,-4.49,5.14,4.3,0.46299999999999997,-0.636,2.4,-4.24,11.3,-3.33,,,,,150,131000000000.0,-7.664785501178172,0.1746367285759023,2.493291034142098,-0.03173140985448586,0.04888254505276968,0.782284252932768,-7.083450860719042,6.803135900215106,-4.98457524363225
2617,131.0,4.44,-2.33,6.2,1.64,0.406,1.18,5.16,3.4,-1.73,,,,,150,131000000000.0,-3.107945873425188,-1.2112079880949367,3.963737420943242,1.0630477267528635,0.16622657290425474,1.0172060957108846,-2.4869805476031495,4.799664070513158,-3.624667519505547
2618,131.0,-4.82,-5.95,-3.11,1.55,0.321,2.16,-3.54,-1.05,-11.5,,,,,150,131000000000.0,-3.752447738694049,-3.8332368571479982,1.1575953394939633,1.381941741958074,0.2170830595569861,1.6922291679949373,-2.8823080244818517,1.3558881664585916,-6.915335189275655
2619,131.0,-18.0,-60.8,-2.12,2.42,2.42,6.32,-16.2,-57.1,-11.0,,,,,150,131000000000.0,-9.115930671091366,-35.35361191758512,-0.14262227900938318,2.061742701632475,0.9409322039822132,4.4257508943338095,-7.88207326802268,-33.05787868875334,-8.622091630072212
2620,131.0,-9.67,-20.4,-6.87,0.142,-1.36,3.34,-7.1,-18.0,-16.0,,,,,150,131000000000.0,-9.324509783044395,-27.079603557566788,-2.8113639294428125,0.8045465647967553,0.18487657186640938,3.7844218632901416,-7.588465111041742,-24.19310293545749,-11.704913162189081
2621,131.0,1.88,-9.0,-4.17,-0.491,-1.84,1.07,4.22,-6.97,-13.5,,,,,150,131000000000.0,-5.106578459860472,-17.07594771913237,-3.350333061985027,-0.04387761971315496,-0.48047086843087206,2.181073082960401,-3.1552983792196807,-14.053630416482997,-12.454981078209736
2622,131.0,8.89,-3.48,-4.74,-1.4,-0.5379999999999999,-1.4,10.5,-0.993,-14.1,,,,,150,131000000000.0,0.16242565719803537,-9.553151040782657,-3.901611976858729,-0.9319715243172939,-0.49937416954269037,0.06581262539846255,1.9712117128361797,-6.364661572344126,-13.142344037271183
2623,131.0,7.52,3.59,5.69,-1.0,2.13,-5.07,9.14,7.01,-3.36,,,,,150,131000000000.0,2.932180319992672,-2.280892090674067,-0.09663238046679101,-0.9765218366885899,0.3646031438898521,-2.967798124150237,4.662538276445464,1.509181755441121,-9.054841232411778
