,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
20,1.22,-4.3,4.43,9.73,-0.439,1.48,-1.36,-2.52,2.26,0.612,1220000000.0,-3.9601041353699755,4.255426711646975,9.488968299587613,-0.37964771749063586,1.1165063121197536,-1.2880514357165915,-2.4562640225362826,2.0880258720897777,0.3771684114858307
21,1.27,-4.72,3.43,9.51,-1.45,1.09,-1.31,-1.78,1.15,-0.27399999999999997,1270000000.0,-4.446076196485807,3.723101271877797,9.501980122316082,-1.0925828963746065,1.0990158840256878,-1.3028344075741205,-2.056094329576165,1.4848166498922672,-0.015554336668804625
22,1.32,-4.33,2.23,7.36,-2.47,0.773,-1.71,-0.193,-0.511,-2.34,1320000000.0,-4.371842549837758,2.7601861710148916,8.176801461228091,-2.0100463351575217,0.8838911055006177,-1.577072561488112,-0.9536345979381686,0.20138193797961645,-1.4174384797029318
23,1.37,-3.59,-0.0718,6.85,-2.41,0.365,-2.11,-0.17300000000000001,-1.29,-1.79,1370000000.0,-3.871834851789804,0.9338115394798756,7.355949203274756,-2.2764456232592747,0.5414957247217738,-1.9360149602688348,-0.49170510507826143,-0.7576697467332111,-1.64213207510779
24,1.42,-3.78,-2.5,7.25,-0.542,1.27,-1.71,-3.17,-1.44,0.899,1420000000.0,-3.8131041749828634,-1.2806859560331267,7.290401614561041,-1.1211743458852188,1.0222064059079399,-1.7837871926340518,-2.0765482953542573,-1.1964507416459524,-0.10956328513214264
25,1.47,-6.65,-3.23,9.46,-1.45,1.97,-3.4,-1.38,-0.0192,0.146,1470000000.0,-5.627369263686273,-2.537817007326937,8.632666971425877,-1.3401970021829537,1.6476173271381311,-2.872354619491735,-1.6643756847897841,-0.4394050068431735,0.04456814191791264
26,1.52,-5.41,-1.74,7.07,-0.42700000000000005,1.67,-2.17,-4.01,2.81,0.653,1520000000.0,-5.488356147108984,-2.0232972897562687,7.665891974336812,-0.7319390859799471,1.662386725115825,-2.399297959358916,-3.0523658522660604,1.6501652712992443,0.41151627708072
27,1.57,-8.42,-1.25,8.41,-0.368,1.73,-1.62,-3.94,2.78,0.0883,1570000000.0,-7.363214930263974,-1.5245905634949786,8.12624915792498,-0.4895282745705426,1.7070020205225458,-1.8744176247511506,-3.5776108459268947,2.3767195312714384,0.2165830069753681
28,1.62,-8.02,-2.37,6.56,-1.49,0.862,-0.517,-3.59,3.02,-1.02,1620000000.0,-7.783245515364475,-2.0698030205181386,7.15725782807707,-1.1559177196309538,1.149419138980372,-0.9601565226613458,-3.5849419019341227,2.7903890273634557,-0.5292060530333005
29,1.67,-9.62,-2.03,5.7,0.109,0.5660000000000001,0.212,-4.74,2.81,0.006679999999999999,1670000000.0,-8.957895352329858,-2.044133658179778,6.255696076648524,-0.31338735517967486,0.7644442858306544,-0.17067426765345595,-4.268431068745396,2.8030000704977915,-0.20601063489002586
30,1.72,-7.42,-3.9,6.58,-0.27899999999999997,-0.28600000000000003,0.581,-2.51,2.22,-0.602,1720000000.0,-7.97437329593534,-3.2409994529115465,6.456333122781626,-0.29048279889837714,0.07129830856674801,0.33560067286243234,-3.227904334410315,2.4280946405588484,-0.444833696379329
31,1.77,-7.67,-3.26,5.68,0.0891,-0.9440000000000001,1.2,-1.06,-0.40700000000000003,-1.68,1770000000.0,-7.779719095771106,-3.253253079046205,5.9760390392390645,-0.03765209510875367,-0.5986562457300024,0.9177993433687897,-1.9450775549962662,0.6049517576501766,-1.1897683157504155
