,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
468,23.4,-1.3,-9.66,-0.637,-0.24,0.45799999999999996,-0.23600000000000002,0.359,0.0091,-0.501,60.0,23400000000.0,-1.4852418873398878,-9.780662085719808,-0.5174629274198743,-0.24032826246472105,0.46987893863731556,-0.2082766303885982,0.24720303669578786,-0.14684329592441114,-0.5745262404729921
469,23.5,-1.03,-9.84,-0.0694,-0.253,0.58,-0.22699999999999998,0.498,-0.153,0.23199999999999998,60.0,23500000000.0,-1.2740101136623605,-9.804224757981597,-0.2942892470971727,-0.2495452917768635,0.5427019821903248,-0.22113767949622,0.3731434840744412,-0.14928094785966237,-0.17151056141768412
470,23.5,-1.45,-9.53,-0.17,-0.258,0.43700000000000006,-0.214,-0.0448,0.161,0.28800000000000003,60.0,23500000000.0,-1.3556692592951525,-9.695332191517208,-0.23238256735733778,-0.25569497900740834,0.47280126878234513,-0.21623482077788997,0.16326857442909914,-0.026429940009131472,0.058103737765656416
471,23.6,-1.92,-9.81,-0.38799999999999996,-0.319,0.447,-0.272,-0.626,-0.111,0.201,60.0,23600000000.0,-1.6175181138453014,-9.740866028734303,-0.3098933708790498,-0.30174112630219124,0.4557388884576467,-0.2545398367300705,-0.2330713016240228,-0.059914165847542056,0.1295080315919251
472,23.6,-1.16,-9.72,0.14400000000000002,-0.308,0.423,-0.342,0.0619,-0.0171,0.8320000000000001,60.0,23600000000.0,-1.405230171233377,-9.732580401471585,-0.08381563508279793,-0.3062936390851028,0.4340886677015548,-0.31461607785701823,-0.08494822258157142,-0.04296255024054696,0.4805385036748291
473,23.7,-1.89,-10.0,-0.342,-0.207,0.259,-0.304,-0.772,-0.278,0.349,60.0,23700000000.0,-1.6301628589897708,-9.838770587453082,-0.21241354574941546,-0.23407047350515614,0.31830253918803425,-0.3073239055017893,-0.4299588253432683,-0.1360220422186485,0.41480961058683424
474,23.7,-1.89,-10.3,-0.5529999999999999,-0.213,0.14800000000000002,-0.191,-0.847,-0.273,0.4,60.0,23700000000.0,-1.7507270144820075,-10.02192117784431,-0.3820547310467064,-0.21874445282564162,0.205681476371538,-0.22742121442103444,-0.6393806326440552,-0.190256375977115,0.4074093517794595
475,23.8,-1.81,-11.6,-0.713,-0.098,0.14400000000000002,-0.128,-0.846,-1.89,0.124,60.0,23800000000.0,-1.778229591324516,-10.648563821273115,-0.5468937941212701,-0.13091861550444564,0.16489151379024744,-0.15912895722520207,-0.7431368249892782,-0.8632439313674503,0.2657916233182325
476,23.8,-2.43,-12.5,-0.273,0.226,-0.34299999999999997,0.142,-1.49,-2.82,0.56,60.0,23800000000.0,-2.080650411404223,-11.3837543354829,-0.4104712481869296,0.12869310592661679,-0.1709771256390192,0.04771600932186856,-1.1181823752759583,-1.63799162311851,0.41280555132746133
477,23.9,-1.23,-10.5,2.12,0.877,-0.461,0.5429999999999999,-0.11199999999999999,-0.8140000000000001,2.71,60.0,23900000000.0,-1.6859495175366321,-11.032822549767458,0.8499199117900128,0.6729887182778174,-0.36276924079481043,0.38792571978847934,-0.6129168472178009,-1.311744712776075,1.560698028015808
