,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
38,1.95,-8.78,-5.44,3.83,-0.2,-0.00672,0.467,-1.79,0.45,0.29100000000000004,60.0,1950000000.0,-8.507774600688366,-4.750767710045816,3.798681558361978,-0.24568405678603997,0.311993970158835,0.25191412884692643,-1.429451002415977,0.7223461020300098,-0.22633305713301988
39,2.0,-9.9,-4.42,3.95,-0.402,0.493,0.524,-2.73,1.31,0.509,60.0,2000000000.0,-9.023435763403192,-4.633674447684203,3.874602368009754,-0.359299572929193,0.4293501911778593,0.4387195126861128,-1.9541532078440316,0.9286190810112601,0.14528698444749505
40,2.05,0.0,-4.67,12.0,0.483,0.235,0.893,7.46,0.7559999999999999,8.65,60.0,2050000000.0,-5.68127819705539,-4.64653388714327,7.951346523307116,0.2529111446230401,0.3033422123785078,0.7506138610084693,1.8439558269882759,0.86802787367217,4.443368809687737
41,2.1,-9.82,-3.83,2.49,0.972,1.12,0.48200000000000004,-2.14,1.33,-0.755,60.0,2100000000.0,-7.214204205668938,-4.357477111776775,5.211232932753703,0.7755683020954667,0.8328266283728102,0.5661922353385267,0.23664196413627736,1.0301851998876819,1.8162354258059872
42,2.15,-9.81,-4.76,1.58,0.58,-0.21100000000000002,0.632,-1.88,-0.0402,-1.73,60.0,2150000000.0,-8.175651727945143,-4.499972144991404,3.389339638339499,0.6334228906950308,0.1560560942824537,0.6113737459190854,-0.6173102437060892,0.6544681905303376,0.024051401553762952
43,2.2,-7.15,-5.87,0.953,0.852,0.833,0.0606,0.9,-1.44,-2.47,60.0,2200000000.0,-7.795764348665596,-4.984968260993858,2.1669584338947283,0.7922918376022537,0.5949562727808992,0.23323024118232438,-0.005156446744705168,-0.08071326305151294,-1.2363835577937359
44,2.25,-6.09,-7.13,2.8,0.8340000000000001,0.9590000000000001,-0.036,2.11,-2.74,-0.313,60.0,2250000000.0,-7.163972549642895,-5.744319394418573,2.4845734512970843,0.8226066795949628,0.8309859507618252,0.04838543439472809,0.8481963936128127,-1.0141522387301634,-0.7697272125526242
45,2.3,-7.19,-3.72,2.6,0.292,-0.0342,0.607,1.12,0.515,-0.42,60.0,2300000000.0,-7.173612783547627,-5.027701036341541,2.542486200963574,0.43694449340071356,0.27003804463400594,0.43191218961723826,0.9578546628437279,-0.4774029438635615,-0.5929832945510586
46,2.35,-7.83,-5.13,4.04,0.12,-0.457,-0.0158,0.524,-1.04,0.934,60.0,2350000000.0,-7.416729629996647,-5.0639153800951,3.2938316425882057,0.20657893078423942,-0.20134092384614755,0.12452742794203886,0.7828174275929165,-0.6748807017195126,0.17871817188499295
47,2.4,-10.1,-2.5,4.19,0.518,-1.41,0.21899999999999997,-1.94,1.5,0.625,60.0,2400000000.0,-8.410576528200005,-4.156277553294723,3.743464942025794,0.43292989205664806,-0.9849814319802737,0.18938924939887153,-0.31569429396557713,0.08852641002559214,0.404258516031256
48,2.45,-2.17,-2.31,0.716,-0.7090000000000001,-2.47,-1.09,5.7,1.61,-3.62,60.0,2450000000.0,-6.099152104733666,-3.5026867947666336,2.2244992885063057,-0.3970618677817395,-1.9478011242730304,-0.6889982047884431,2.111317623861222,0.6225804245382651,-1.6295070725471752
49,2.5,-8.86,-10.6,1.52,-1.61,0.16699999999999998,-2.59,-1.66,-5.64,-2.96,60.0,2500000000.0,-7.121732392021156,-6.015168419537357,1.8710318565520287,-1.2786647414588264,-0.576658588939283,-1.9941647200837176,0.5897919975672332,-1.5756543238148057,-2.3019069383741786
50,2.55,-3.7,-13.8,2.2,-1.36,-1.73,-2.99,2.66,-7.68,-2.07,60.0,2550000000.0,-5.854369389225056,-8.771034641048205,2.0360845975027946,-1.3377818617160513,-1.3244336291915308,-2.677873139770921,1.4250106134703402,-3.7183469170307712,-2.1847065899571647
51,2.6,-4.38,-8.4,6.14,-1.5,-1.5,-0.8809999999999999,0.335,-1.17,1.49,60.0,2600000000.0,-5.308283113829209,-8.639686538018177,4.0951361472745464,-1.4556872778195757,-1.438263017929407,-1.4441979327910606,0.9852494348264813,-2.8238490299150403,-0.327596264432507
52,2.65,-5.61,-6.33,4.56,-0.295,-0.21,-0.00176,-1.13,1.16,0.0744,60.0,2650000000.0,-5.420034983812763,-7.822046862590817,4.328371595823313,-0.612062024495967,-0.6419121641597372,-0.4538665296352835,0.13185903833502488,-1.4254740966738773,-0.1244368029092518
53,2.7,-3.98,-9.17,4.48,-0.318,-0.396,0.204,0.498,-1.66,0.045,60.0,2700000000.0,-4.886665668686879,-8.299228494641682,4.404447908178588,-0.39832817792104275,-0.48247370538849643,-0.0021965722661729248,0.279577398424389,-1.507795263469184,-0.03880742515953804
54,2.75,-4.17,-9.03,4.68,-0.0486,-0.456,0.386,0.319,-1.53,0.239,60.0,2750000000.0,-4.6212225054661085,-8.557924871205019,4.542700179743817,-0.14413436921322836,-0.465309338084079,0.26432668998048664,0.2954823191370022,-1.5155893608315802,0.1015899127167411
55,2.8,-3.43,-4.8,5.43,-0.254,-0.38799999999999996,0.276,1.1,2.65,0.9440000000000001,60.0,2800000000.0,-4.180009957261219,-7.227602265107575,4.987883765857159,-0.2239882869451943,-0.41518542565914873,0.27234120372912984,0.6200623300076881,-0.053421521943436634,0.5273241692317508
56,2.85,-5.57,-9.07,3.0,-0.597,0.243,-0.713,-1.12,-1.54,-1.43,60.0,2850000000.0,-4.69484337925422,-7.879819421801954,3.99050568161888,-0.4951053275042598,0.011552590370756233,-0.4041623145367701,-0.08196007202817812,-0.5752269489246377,-0.4618614240263784
