,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq,RPM
20,20,20,20,1.000985282,-6.169294834,-5.088337421,9.974780083,1.143499709,-0.0087924,1.545269966,2.092156887,1.14130372,-1.02446723,0.916805387,0.867479444,0,0,0,1,,,,-5.987978135,-4.870727487,9.489578749,-0.974859027,1.048072121,0.677487227,-0.238056684,1.522410469,2.089899939,,,,,,,,,,-0.350670578,0.942813092,-3.409370668,-0.168846837,-1.467295489,-1.288242583,,,,,,,64
21,21,21,21,1.050985282,-4.584349155,-4.690829754,8.538488388,1.193499709,0.166196346,0.711351872,0.217888832,1.19130372,-2.7860744,2.103757858,0.833653808,0,0,0,1,,,,-5.239197985,-4.74379366,9.039523244,-2.419746977,1.807053015,0.795006294,0.048078118,0.942591044,0.749308443,,,,,,,,,,-1.798748679,1.091051645,-3.161541532,-0.158372884,-0.555389012,-2.745506187,,,,,,,64
22,22,22,22,1.100985282,-7.016952515,-6.840780735,7.784450054,1.243499709,0.695290566,0.569734573,-1.626234293,1.24130372,-2.779355049,0.34176904,0.868395746,0,0,0,1,,,,-6.187559214,-6.223404275,8.445623209,-2.706622507,0.753593162,0.850233602,0.506182303,0.67603888,-0.95187398,,,,,,,,,,-1.057827384,-0.035445152,-2.159290906,-0.668968998,-0.241452223,-1.310635549,,,,,,,64
23,23,23,23,1.150985282,-7.016952515,-6.840780735,7.784450054,1.293499709,0.695290566,0.569734573,-1.626234293,1.29130372,-0.345357776,-0.369333535,0.538461864,0,0,0,1,,,,-6.630007503,-6.659018197,8.132756388,-0.822935449,-0.053730343,0.615617953,0.640035239,0.600042766,-1.434799374,,,,,,,,,,0.190206862,-1.095485302,-1.470846945,-0.745324447,-0.380171581,-0.079209354,,,,,,,64
24,24,24,24,1.200985282,-5.688038349,-7.200003147,0.446261436,1.343499709,0.695290566,0.569734573,-1.626234293,1.34130372,1.593013287,1.564227104,-0.024128467,0,0,0,1,,,,-6.127504481,-7.040731124,4.495510643,1.104375498,1.109493472,0.134193553,0.679145575,0.578375677,-1.571890454,,,,,,,,,,-0.796695388,-0.797402951,2.108506023,-1.84148233,-0.031091045,-2.412184155,,,,,,,64
25,25,25,25,1.250985282,-6.870691299,-8.435297966,3.750151396,1.393499709,2.001726151,-0.832991123,0.683505297,1.39130372,0.631005228,0.788298368,-0.121787675,0,0,0,1,,,,-6.523965045,-8.024721883,4.142807003,0.726746747,0.878571581,-0.05843841,1.615282851,-0.430599369,0.043251867,,,,,,,,,,-0.427612237,-0.099905407,2.464244062,-2.152135665,-0.379723073,-2.426564816,,,,,,,64
26,26,26,26,1.300985282,-3.83270359,-5.131408215,13.63789272,1.443499709,-1.15610218,-0.926768303,-3.105736017,1.44130372,-0.120031484,-0.024892027,0.202801287,0,0,0,1,,,,-5.08828426,-5.983232135,8.635877036,0.051233675,0.229030157,0.138150677,-0.34633437,-0.785306645,-2.211812947,,,,,,,,,,0.221191689,-0.923462111,-1.88255315,0.419255841,0.684130114,-0.529584812,,,,,,,64
27,27,27,27,1.350985282,-5.015356064,-7.698009491,1.241276741,1.493499709,-1.15610218,-0.926768303,-3.105736017,1.49130372,-0.531437099,-0.069483876,-0.195852906,0,0,0,1,,,,-5.049379972,-7.193159849,5.136755704,-0.413589003,0.014414728,-0.113194964,-0.919497054,-0.886436474,-2.851972432,,,,,,,,,,-0.094991721,-0.405326272,1.999178949,-0.625798845,1.235959107,-0.468563967,,,,,,,64
28,28,28,28,1.400985282,-9.662218094,-7.30768013,0.379262388,1.543499709,-1.15610218,-0.926768303,-3.105736017,1.54130372,-0.012293302,-0.479744166,-0.117511742,0,0,0,1,,,,-7.510145368,-7.273964078,2.885512136,-0.093457376,-0.340858765,-0.116443442,-1.0869688,-0.915269382,-3.033698546,,,,,,,,,,0.46089974,-0.424216941,4.223363523,-2.505188568,1.611784953,0.024309217,,,,,,,64
29,29,29,29,1.450985282,-8.52981472,-7.223931789,0.489631325,1.593499709,2.473069668,0.997085571,0.170533419,1.59130372,0.068185829,-0.172640711,-1.543840051,0,0,0,1,,,,-8.054098351,-7.238661855,1.751782479,0.035492677,-0.219919091,-1.190593346,1.432866115,0.451858162,-0.739072137,,,,,,,,,,-0.88853751,0.29716934,5.120338421,-3.730333555,-0.139634369,0.029658917,,,,,,,64
