,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
20,20,20,20,1.04,-11.3,-1.42,8.14,0.0302,1.83,-0.0751,-8.99,4.73,15.4,60.0,1040000000.0,-11.383816017360168,-2.6023237571173268,7.703721913361423,-0.365970551133022,1.8211092248046068,-0.25030454844760397,-8.413619922662212,3.6856358476429087,14.213522696696383,,,,,,,,,,6.410921795580918,-7.1746396401628125,9.837735465514054,3.0018856898303765,2.8562237517270894,-1.5788610854163196,,,,,,
21,21,21,21,1.09,-10.5,-3.41,5.85,0.361,1.82,-0.0555,-8.95,2.84,13.2,60.0,1090000000.0,-10.973726308109603,-2.9230455739335373,6.780409727856632,0.16280567533005275,1.8203757291610183,-0.11649363930055814,-8.682968973326084,3.3508191988928617,13.707072196266955,,,,,,,,,,5.612270541973356,-7.206464259088429,9.317801740473843,3.1980385539848437,3.2889761369910446,-1.5651036942204848,,,,,,
22,22,22,22,1.14,-9.67,-5.47,4.41,0.315,1.14,0.517,-8.65,0.877,11.8,60.0,1140000000.0,-10.368798697783587,-3.934420743602312,5.599742768652378,0.2735071874388761,1.3704432703308242,0.3186520665696789,-8.666413049740852,2.371348211362561,12.754121272775956,,,,,,,,,,4.048333558797458,-7.128297291544386,8.581837677104959,3.2128512679155183,2.901108764529877,-1.2581068126946582,,,,,,
23,23,23,23,1.19,-8.2,-6.45,2.72,0.267,0.913,0.601,-7.37,-0.004529999999999999,10.1,60.0,1190000000.0,-9.362478277979342,-4.933337091829837,4.165384461160562,0.2687740501368264,1.0679360411270022,0.5125963844792828,-8.015404941938558,1.4306554738973694,11.427875096915658,,,,,,,,,,2.9359411045771586,-6.71059734889932,7.351981285078791,2.928314925812776,2.54397582323146,-0.869327481916955,,,,,,
24,24,24,24,1.24,-7.76,-6.21,1.34,-0.722,0.0959,0.816,-6.97,0.166,8.75,60.0,1240000000.0,-8.618930136363973,-5.440289747678802,2.758101244678586,-0.4518848034773896,0.4251286355984569,0.7210037962267544,-7.490443264188956,0.9299344268285488,10.089759105911165,,,,,,,,,,2.3007496582315587,-6.085206583675372,6.493952006940925,2.8769549189417214,1.566883528464996,0.09441730223674268,,,,,,
25,25,25,25,1.29,-6.51,-6.21,2.0,-0.0877,-0.172,0.5820000000000001,-6.66,-0.0822,8.92,60.0,1290000000.0,-7.640388861250299,-5.7459355542889465,2.380501953219405,-0.18698787685960394,0.030247482851604945,0.6255223392099911,-7.073426982397349,0.5291952397406385,9.505238466783684,,,,,,,,,,1.6519480965502562,-5.547608177489656,6.008128299830184,2.5332373147722467,1.4206877468727566,0.5667331039358698,,,,,,
26,26,26,26,1.34,-7.15,-5.9,1.22,-0.206,0.0819,0.0587,-5.87,0.2,8.78,60.0,1340000000.0,-7.412848985901209,-5.807113352626189,1.8024726892584568,-0.20081671603589424,0.06440529127729053,0.2361730475705105,-6.4691128494988535,0.3988554070942849,9.142841599159759,,,,,,,,,,2.125013220759424,-5.402703387549662,5.442691954453101,2.2318208761654947,1.4218945498925368,0.911006910298867,,,,,,
27,27,27,27,1.39,-8.11,-5.66,1.42,0.166,0.487,0.14300000000000002,-6.9,0.438,9.0,60.0,1390000000.0,-7.736326169238247,-5.748695755094028,1.6119685399973442,0.0659945803559619,0.3438671519640312,0.17217264585885955,-6.6854876120816575,0.4143541090181975,9.071464622602306,,,,,,,,,,2.277568057862685,-5.701585350890396,5.370860878315864,2.4222982749392927,1.813939131544752,0.6369434995322651,,,,,,
28,28,28,28,1.44,-8.39,-5.35,0.488,0.11,1.13,0.126,-7.33,0.84,8.02,60.0,1440000000.0,-8.039630303504723,-5.590376818323852,1.0521360305088094,0.09800278116419167,0.8637367777337925,0.1404567361388676,-7.009136547497016,0.5828820966194214,8.546055123645724,,,,,,,,,,2.7456374054021957,-5.945985257296077,4.995090522002012,2.8079962801767104,2.261476019101269,0.23819886459951736,,,,,,
29,29,29,29,1.49,-9.79,-3.99,1.45,0.14400000000000002,1.5,0.667,-9.08,2.21,9.01,60.0,1490000000.0,-8.851799997397219,-4.954879974035982,1.2503063567507129,0.1314597519317213,1.2844976276121909,0.5021383964924113,-8.049043334399954,1.2271146264783883,8.777885340439537,,,,,,,,,,2.9092033685006897,-6.350607239157214,5.597542031706946,3.649768124586475,2.8029547793732474,-0.3940491110270761,,,,,,
30,30,30,30,1.54,-4.89,-4.04,0.407,0.341,1.4,0.513,-4.38,2.25,7.91,60.0,1540000000.0,-7.013528873215367,-4.59158843078684,0.8302676309911838,0.2838729361497501,1.3608793272553803,0.509599221141569,-6.2065929875015176,1.6321104876395167,8.344208856454742,,,,,,,,,,2.681439377456937,-4.76608809678302,4.794689473367783,2.915881458011471,3.384931817430497,-0.2525249446414139,,,,,,
31,31,31,31,1.59,-6.81,-3.09,1.07,0.192,0.616,0.481,-6.82,3.29,8.51,60.0,1590000000.0,-6.919091662000043,-3.9953196280335987,0.9496748910621132,0.21704736331526905,0.8682906481848598,0.4899544695332516,-6.514622141559273,2.2885265364949907,8.427053678780771,,,,,,,,,,2.6635812697194208,-4.365191950576333,5.32385387928832,3.263490402973272,3.2092851875874167,0.3837442208148296,,,,,,
32,32,32,32,1.64,-5.21,-2.97,1.12,0.438,0.091,-0.481,-5.34,3.5,8.49,60.0,1640000000.0,-6.126074933014466,-3.5881734070670337,1.0345113726068116,0.3777615733163901,0.3542683645372685,-0.17699249166716002,-5.924772809918253,2.7681909752745923,8.458507413432146,,,,,,,,,,3.1942110487670363,-3.6259817871410798,5.2788232050700845,2.867326364029205,3.0667620209590387,1.3965264457698408,,,,,,
33,33,33,33,1.69,-9.17,-4.06,-0.6779999999999999,0.243,0.12,-1.21,-9.51,2.53,6.58,60.0,1690000000.0,-7.538453021298847,-3.775531954660517,0.18153418074994665,0.2797401120880416,0.19934670029301527,-0.8865636005518504,-7.725134131868828,2.673882880510211,7.5198299844066465,,,,,,,,,,4.281468800817831,-4.860430620060007,5.160389220696486,3.823642886887821,2.4923988275367983,2.0738630447778292,,,,,,
34,34,34,34,1.74,-9.85,-3.61,1.33,1.23,-0.418,-1.13,-10.4,3.23,8.33,60.0,1740000000.0,-8.611008582904915,-3.70980049635378,0.7535684556739675,0.9709302105081592,-0.20890466252588752,-1.0537796418135557,-9.06834721177936,2.8940689788444818,7.924666398344075,,,,,,,,,,4.00879483700431,-5.6402057622376525,6.162462344268424,4.5403968661425065,2.5172810585602963,2.253757113468627,,,,,,
35,35,35,35,1.79,-11.6,-4.74,1.5,1.24,-0.853,-1.1,-12.2,2.5,8.09,60.0,1790000000.0,-9.997897656598226,-4.118884397411275,1.125355237767684,1.1666433827732463,-0.6348448801820106,-1.0855283428183622,-10.640940955896523,2.738043377564681,8.007282551973224,,,,,,,,,,3.747038742668861,-6.7351966626232,6.974313214003053,5.3328249524944775,1.9682163517814601,2.4072431594426105,,,,,,
36,36,36,36,1.84,-7.36,-4.73,2.17,1.38,-0.747,-2.47,-8.17,2.89,8.29,60.0,1840000000.0,-8.773915960146516,-4.361553528161664,1.6456777588331213,1.321832480913268,-0.7090130436927607,-2.03651956515208,-9.400130856951943,2.7982083258972725,8.148554520755964,,,,,,,,,,4.725041829471353,-6.0354572055595215,6.343608768379978,4.194881511540361,1.8348180311033184,2.919766789158538,,,,,,
37,37,37,37,1.89,-4.53,-8.67,1.71,-0.318,0.418,-4.13,-6.55,-1.07,7.57,60.0,1890000000.0,-6.804743483110915,-6.072403229362196,1.6777157580640119,0.1290683141861353,0.03628065679180892,-3.4745277576860736,-7.968906442338438,1.2666502218382727,7.859454843522941,,,,,,,,,,7.158953258098288,-5.9506088055970405,3.8037261466835006,1.8023931221676976,0.6800109187833654,3.1082381068664358,,,,,,
38,38,38,38,1.94,-7.2,-14.6,2.33,0.633,-0.622,-0.8440000000000001,-9.95,-7.18,8.15,60.0,1940000000.0,-6.988142005754793,-9.45864392578356,2.002609089271909,0.4956128775841259,-0.3990403080060464,-1.6676227479490155,-8.963734233212223,-2.0776720253564487,8.004638093476574,,,,,,,,,,2.7349782217730403,-7.49658882312266,3.6871977426713864,1.4591710617584024,-0.4001024189622121,1.6601849823918633,,,,,,
