,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
23,23,23,23,1.15,-8.16,-3.97,8.43,-1.36,1.3,-1.04,-2.55,1.77,2.32,90.0,1150000000.0,-5.959118740098822,-3.069086192861708,8.565205517014133,-1.4220270473736685,1.232367833503012,-1.2475188979697758,-1.604396608388713,0.8596569198180624,2.005088151999983,,,,,,,,,,2.2291144675139014,1.2228589136850636,4.3318403753437975,0.8767506251125039,2.0695281127025176,1.1976445872317565,,,,,,
24,24,24,24,1.2,-8.24,-3.79,8.04,-0.841,1.53,-1.17,-1.75,2.43,3.09,90.0,1200000000.0,-6.867649022910952,-3.3629452844382506,8.298345784632076,-0.9859190291307232,1.4415961673184234,-1.1931931201337176,-1.6712193914001885,1.5220094690749404,2.58762064230064,,,,,,,,,,1.9110806272612528,1.4557411995754246,4.3847337245836036,1.1434947548869223,2.2735151455497933,1.3907097032136306,,,,,,
25,25,25,25,1.25,-7.5,-3.74,8.08,-1.16,1.75,-0.7809999999999999,-3.49,2.93,2.18,90.0,1250000000.0,-7.119529767347437,-3.5166404471043267,8.187403092878608,-1.1165809246228269,1.6583967470958798,-0.9043255139734604,-2.5059251028969056,2.1158835936735514,2.3687528622202487,,,,,,,,,,1.8184811568373933,1.4709031802582064,4.411010104351681,1.393861081541856,2.330432562597124,1.309211818308182,,,,,,
26,26,26,26,1.3,-9.28,-3.76,6.41,-0.975,0.992,0.0483,-2.34,3.07,3.35,90.0,1300000000.0,-7.980097399872494,-3.615838738793339,7.2842950625861755,-1.0103129487710094,1.1899356278197184,-0.2367193581315199,-2.429775895383358,2.5183188136674466,2.8956236208832817,,,,,,,,,,0.9065708493488708,1.4521397381088503,4.393209901529358,1.5161339407054906,2.0037581713657446,1.7098353510672442,,,,,,
27,27,27,27,1.35,-8.27,-3.95,6.76,-1.18,0.593,0.28,-2.34,3.2,3.16,90.0,1350000000.0,-8.095572825201952,-3.752049673992398,7.017898072613901,-1.1376768360532916,0.7703040356536124,0.12540092882912485,-2.3885743763395886,2.805844061899764,3.0375779123500384,,,,,,,,,,0.4749796710855307,1.3137749848481295,4.3913144457864846,1.4796696576717638,1.748777199313108,1.8870369610583797,,,,,,
28,28,28,28,1.4,-8.42,-3.97,5.93,-1.13,1.04,0.392,-0.823,2.38,3.1,90.0,1400000000.0,-8.224800074755207,-3.840890664375324,6.465131195962802,-1.1319147429280556,0.9598938752326204,0.31223528427064395,-1.6700743829209277,2.6262280176381894,3.071094775086564,,,,,,,,,,0.3860661249765504,1.2965019580517159,4.1700185912714405,1.4639317541786787,1.7953293114191318,1.9171219325517483,,,,,,
29,29,29,29,1.45,-7.14,-4.81,5.24,-1.05,0.112,0.555,0.069,2.66,4.32,90.0,1450000000.0,-7.7926978183705105,-4.235919285612005,5.842635411304544,-1.070431033313118,0.3638445933792135,0.482366380634044,-0.8719488122920391,2.6404726848019875,3.741682002716884,,,,,,,,,,-0.017397393044859145,1.0620370397749015,3.9038516441036015,1.1918682902174618,1.3593739048612643,2.0711313743809,,,,,,
30,30,30,30,1.5,-6.46,-4.51,5.81,-0.565,0.28600000000000003,0.399,-0.3,2.34,4.04,90.0,1500000000.0,-7.261851941384442,-4.347640243753505,5.8260531563928,-0.6910639520191988,0.3091216999060352,0.42394267131327695,-0.6094603485417358,2.5137367506847705,3.901860839094791,,,,,,,,,,-0.12397380013754772,0.9313823922853656,3.7967004160095335,1.0356839068865806,1.2622074106293542,1.8233732272628087,,,,,,
31,31,31,31,1.55,-7.0,-4.71,5.27,-0.674,0.236,1.01,-1.22,1.33,2.46,90.0,1550000000.0,-7.1575499566978475,-4.49534545426039,5.543519584276243,-0.6782560874263107,0.2577188801486887,0.8346554513875086,-0.8896595946557163,2.0144503191984446,3.1276681422034285,,,,,,,,,,-0.4806162622557506,0.7839537348201104,3.6769982372350474,1.1001468001437922,1.1726766010783938,1.6283273484234766,,,,,,
32,32,32,32,1.6,-8.18,-5.51,3.48,-0.975,0.153,0.984,0.271,0.132,3.32,90.0,1600000000.0,-7.56481675039017,-4.908939344631522,4.495034332123437,-0.900986535496884,0.18410398907308445,0.93931710120973,-0.3569899690225994,1.22045457968043,3.2309387685390867,,,,,,,,,,-0.5899601653905752,0.9106150974845398,3.296616130649167,1.178784847879009,1.0834107951157346,1.9713622016805703,,,,,,
33,33,33,33,1.65,-7.09,-6.3,4.02,-0.631,0.628,0.984,-0.603,0.294,2.56,90.0,1650000000.0,-7.375685773353777,-5.475963993283561,4.253666854976685,-0.6983396788155023,0.4961523713572185,0.9706311862784098,-0.4698930666013181,0.8296867694859802,2.870684894779254,,,,,,,,,,-0.6056000701231955,0.9144178218643629,3.036151235222584,1.2836713116111258,1.235735042957943,1.7008707238764431,,,,,,
34,34,34,34,1.7,-8.23,-5.85,2.93,-0.84,0.122,0.825,0.897,-0.138,2.28,90.0,1700000000.0,-7.715979685892369,-5.6284286261643,3.5811047287841786,-0.8046672464518698,0.2331321292518175,0.8685718956193591,0.1574247366887821,0.4215277008046109,2.553522549044243,,,,,,,,,,-0.6590222670536103,0.9308350009837429,2.8452265948535116,1.3351822233174626,1.1386134965918149,2.100696978598961,,,,,,
35,35,35,35,1.75,-7.07,-5.85,2.28,-0.5770000000000001,0.505,0.146,0.838,0.581,1.32,90.0,1750000000.0,-7.458670364277463,-5.718745578637508,2.9200064902996545,-0.6337844862504087,0.4242487909832523,0.3621888111711273,0.469765902702143,0.4887912568831971,1.891195015287114,,,,,,,,,,-0.2131743282561366,0.8848361969030204,2.5482702782468607,1.4699100810695154,1.1536028123796496,2.136562662381198,,,,,,
36,36,36,36,1.8,-7.25,-4.96,1.11,-0.565,-0.362,0.281,1.88,2.21,1.33,90.0,1800000000.0,-7.375551892730748,-5.409465488756387,2.0003325853929765,-0.5821561356969049,-0.12846545310140178,0.3052911561882734,1.1169744994090196,1.2147771831450311,1.5898670030013444,,,,,,,,,,-0.3693771300365053,0.5932857174178331,2.4224247256769686,1.4426681746844623,0.6969146059168573,2.513285673674252,,,,,,
37,37,37,37,1.85,-6.25,-3.26,0.785,-0.224,-0.35700000000000004,-0.745,1.87,2.22,1.27,90.0,1850000000.0,-6.927217251181477,-4.5332997032169065,1.3828156564355076,-0.31333084475212925,-0.2891198145880521,-0.4307597188857792,1.4625657620156016,1.6387685353322876,1.4181176133904092,,,,,,,,,,0.1774752356452996,0.4916489726001708,2.3627661267517843,1.4037197900811278,0.3700001722951384,2.6836732644862686,,,,,,
38,38,38,38,1.9,-5.44,-3.53,0.606,-0.504,0.37,-1.76,1.28,2.68,0.956,90.0,1900000000.0,-6.334822540758362,-4.124334358871569,0.9881114982345334,-0.4564435522941311,0.17422578568153102,-1.362299944538179,1.3787795666714728,2.0779479341496234,1.1699881795056004,,,,,,,,,,1.350713532318135,0.5584112370757344,2.154450513708116,1.5074355068690324,0.4052678351292553,2.67874438037263,,,,,,
39,39,39,39,1.95,-6.54,-3.23,0.5579999999999999,0.339,1.18,-2.4,-1.15,1.64,0.4320000000000001,90.0,1950000000.0,-6.416549688244476,-3.759785521038928,0.7695695755954336,0.14060148924446908,0.8812611669277612,-2.089526957842423,0.21822908220529705,1.89322656247504,0.7737328336952011,,,,,,,,,,1.971280925539074,0.8934769390674202,2.128841134205183,1.9085308093079727,0.6486373496191038,2.402727693958055,,,,,,
40,40,40,40,2.0,-8.27,-5.04,-0.383,0.636,-1.54,-2.1,-0.315,-0.588,0.831,90.0,2000000000.0,-7.154824122100711,-4.28162692397635,0.1839428588822697,0.5124383281541922,-0.8208279801104315,-2.0968664670528683,-0.026489469347593414,0.8466739399889267,0.8044818484458175,,,,,,,,,,0.8226821673788851,0.9088616494972479,2.206810529550773,1.9326057020574736,-0.05656182816390766,3.2347608791055498,,,,,,
