,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
33,33,1.721292925,-7.536494255,-8.935696602,2.7110681530000003,1.768672195,0.5923781395000001,4.66703701,0.8256428242,1.761161987,0.2779355049,-0.7225559354000001,-0.6591041684000001,0,0,0,1,32,,,-7.384275656608048,-8.238904148789096,2.8696171491936187,0.2858235940108788,-0.4832450508495438,-0.7805575790302948,-0.022100998041705625,1.7050708942431196,0.2785694990157752,,,,,,,,,
34,34,1.771292925,-5.345864773,-1.085444212,5.5651073460000005,1.818672195,1.550453901,-0.4083075523,1.303524256,1.812695425,0.762948215,-0.2539597452,-1.4855805640000002,0,0,0,1,32,,,-6.245828576453111,-3.4242150924935086,4.237130340002237,0.6361412402231004,-0.3233496531843372,-1.2775862850731576,0.7968011395072723,0.6736418599450558,0.8166214091052659,,,,,,,,,
35,35,1.821292925,-3.863810301,-8.887840271,4.502095699,1.868672195,-3.3609013560000003,-2.680724144,-5.026053905,1.864228862,-0.04001049697,-1.051191807,-0.8675557971,0,0,0,1,32,,,-4.915477677967084,-7.101548381131077,4.371556213428431,0.1396925669974795,-0.8309208219655541,-0.9885220597194204,-1.3683070307057332,-0.9634480298048198,-2.250501888178402,,,,,,,,,
36,36,1.871292925,-7.553243637,-11.29860973,1.143171072,1.918672195,0.6539053917000001,-3.387940407,2.90899229,1.9157623,-0.3014531136,0.4808894992,-0.1987544298,0,0,0,1,32,,,-6.388662980370351,-9.926411529969977,2.7336874236170954,-0.1842083797305545,0.08388892713384755,-0.4317498809585938,-0.3152474039904265,-2.1467154351823647,0.4579841983393855,,,,,,,,,
37,37,1.921292925,-4.934000492,-9.366703987000001,4.829912663,1.968672195,3.015303612,2.7102031710000003,-3.606082439,1.967295737,0.4386646748,0.5524349809,-0.09704835713,0,0,0,1,32,,,-5.576237833144676,-9.549696233445546,3.7971732670932,0.2731216609658418,0.410636240329623,-0.19579123995910191,1.4191246978469556,0.2236914720676304,-1.6754551586725075,,,,,,,,,
38,38,1.971292925,-2.630908489,-6.1202421189999985,0.9179465771,2.018672195,-0.02676963806,0.07673978806,-1.240618467,2.018829175,0.2339545041,0.2044811249,0.325963378,0,0,0,1,32,,,-3.931279194870642,-7.241476806693591,2.3364443491364564,0.2443640878142132,0.2668710126889706,0.17203651645220264,0.6661805794267155,0.15197207236692187,-1.4471868270066135,,,,,,,,,
39,39,2.021292925,-4.752145767,-7.403393268999999,2.742473841,2.068672195,-0.018491745,-0.7780499458,0.3420341015,2.070362664,-0.03374931216,0.1220167428,-0.27961534260000004,0,0,0,1,32,,,-4.389731001569869,-7.3504558775191695,2.5424368199430964,0.040165797949567206,0.1658548092539366,-0.14637003769650409,0.309640003178712,-0.30192283398934383,-0.5079319654431226,,,,,,,,,
40,40,2.071292925,-5.345864773,-8.511868477,4.621737003,2.118672195,0.6518788338,0.30611181260000003,-0.4171319008,2.121896102,0.1678302884,0.07841751724,0.2718270421,0,0,0,1,32,,,-4.92372918060988,-8.132153207385759,3.597336011280672,0.13390047822995696,0.10487915913518428,0.14845149012441822,0.4878596062227952,-0.005173054338020343,-0.4602663022485549,,,,,,,,,
41,41,2.121292925,-4.17517662,-7.274180889,3.939483404,2.168672195,1.126694202,2.192063332,-0.8419547081000001,2.173429539,0.4439332485,-0.2245627195,0.7213342786,0,0,0,1,32,,,-4.505664558218796,-7.554688600357668,3.7709189364160403,0.3615348227114824,-0.12486186168521513,0.5523237004154957,0.8205303553271279,1.067182636306684,-0.6606343423763793,,,,,,,,,
42,42,2.171292925,-4.1057844160000005,-5.330012321,3.53718996,2.218672195,0.4547986984,0.9987416267,-0.5294647217,2.224962977,0.2764083743,-0.3832302988,0.1653869003,0,0,0,1,32,,,-4.2823325579287115,-6.057353796173657,3.6523403349818895,0.2990327095900381,-0.3050387983063585,0.2795401156204095,0.6300769500225814,1.033780173762186,-0.5917766054882981,,,,,,,,,
43,43,2.221292925,-4.728217602,-5.471487999,4.238586426,2.268672195,-0.1290082932,1.692942142,1.036066055,2.276496414,0.4893650115,-0.2112004459,0.06642963737,0,0,0,1,32,,,-4.5313581740516495,-5.663032493307563,3.94976277165132,0.43877977157919457,-0.23959927687153204,0.1293010062946144,0.2347861220322521,1.3554825143663405,0.2627624336295733,,,,,,,,,
44,44,2.271292925,-5.470291615,-5.394618511,5.45473814,2.318672195,2.319514751,1.388212204,-0.5356636047,2.328029904,0.16477604210000002,-0.3859027624,-1.23314786,0,0,0,1,32,,,-5.055750013922786,-5.482374479755723,4.713287592094887,0.2375989116129993,-0.3416261116527538,-0.8312012918224267,1.3204008319234295,1.3714561570450503,-0.15637280349609778,,,,,,,,,
45,45,2.321292925,-2.963510752,-6.426523209,5.21306324,2.368672195,0.4217786789,1.126116753,1.49749136,2.379563341,0.6509341002000001,-0.7821899056,-1.804442763,0,0,0,1,32,,,-3.887239926995772,-6.117840756566143,4.966840653404941,0.5410806519658593,-0.6488595945305785,-1.5173192764477859,0.8524466751070651,1.2517188779097643,0.7118262718222008,,,,,,,,,
46,46,2.371292925,-3.607778311,-6.184848309,5.220241547,2.418672195,-0.2569818497,-1.142205715,0.7709546089,2.431096779,0.4989858568,-1.107160687,-1.441828609,0,0,0,1,32,,,-3.731161354452941,-6.1629406844525825,5.095399482709369,0.5101735284988856,-0.9684624373058756,-1.46409969378721,0.2747158812354733,0.08337000256884043,0.7428658025968935,,,,,,,,,
47,47,2.421292925,-3.215056419,-8.578866958999999,6.402894497,2.468672195,-1.933391333,-5.018913746,1.222539425,2.482630216,0.3100049794,-1.31805563,-0.7244648337,0,0,0,1,32,,,-3.442918115044212,-7.788997710809232,5.75873585144956,0.3632044309299456,-1.21225626594985,-0.942670229061082,-0.875147769398396,-2.406786745216608,0.994671364746196,,,,,,,,,
