,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
34,34,1.75,-3.38,-7.41,3.97,0.375,0.0385,-0.29600000000000004,-0.826,-1.04,-3.04,0.0,0.0,0.0,1.0,30.0,1750000000.0,-3.8577308783294777,-7.978723342745487,3.978828694951529,0.4381569209498464,0.5251762271867184,-0.2384884700995077,-1.5934935019132896,-1.9411224767451156,-3.0299593447689377,,,,,,,,,
35,35,1.8,-4.46,-6.95,3.68,-0.742,-0.433,-0.5539999999999999,-2.18,-0.585,-3.43,0.0,0.0,0.0,1.0,30.0,1800000000.0,-4.206988335664279,-7.211745731647657,3.795678079907397,-0.4586180856358804,-0.1503309110588127,-0.4663909825640198,-1.9167338508326608,-1.1790993895919022,-3.282892325873235,,,,,,,,,
36,36,1.85,-5.64,-7.48,3.64,0.239,0.519,-1.93,-3.73,-0.873,-3.34,0.0,0.0,0.0,1.0,30.0,1850000000.0,-5.037995461677117,-7.411746048390233,3.700263805033694,0.07148638962591602,0.3215424166653149,-1.523595260701853,-2.9160760987098717,-1.007098126785505,-3.318999631348569,,,,,,,,,
37,37,1.9,-4.05,-7.37,3.75,0.259,0.444,0.17600000000000002,-2.21,-0.7909999999999999,-3.28,0.0,0.0,0.0,1.0,30.0,1900000000.0,-4.465054425990243,-7.380621678043213,3.7307468773988695,0.2139738177775665,0.4078741094553944,-0.2959317093732161,-2.526937620369554,-0.8856697489075087,-3.2943413910414177,,,,,,,,,
38,38,1.95,-4.56,-6.94,3.7,0.429,-0.6559999999999999,-0.128,-2.7,-0.518,-3.48,0.0,0.0,0.0,1.0,30.0,1950000000.0,-4.520113578926479,-7.0521107544198784,3.7119022947796783,0.3773674279309687,-0.34214926644650245,-0.17463010532157652,-2.6223172166827693,-0.6790712798167039,-3.411727416200283,,,,,,,,,
39,39,2.0,-3.82,-8.25,3.83,-0.14300000000000002,-1.08,-0.061,-2.23,-1.92,-3.49,0.0,0.0,0.0,1.0,30.0,2000000000.0,-4.114115848923208,-7.945211963863894,3.7842837580411364,-0.01804822207554807,-0.8623285958755619,-0.09255201231954233,-2.406100117943144,-1.3763654422849645,-3.4612166788757364,,,,,,,,,
40,40,2.05,-2.87,-8.61,4.28,-0.073,-0.863,-0.818,-1.56,-2.2,-3.03,0.0,0.0,0.0,1.0,30.0,2050000000.0,-3.3926497553814734,-8.440852687466492,4.088105964023419,-0.05980485617237485,-0.8628019136632249,-0.6165626969706569,-1.9397903914468864,-1.8391765714594641,-3.188572117131333,,,,,,,,,
41,41,2.1,-3.55,-11.5,4.31,0.277,-0.271,-0.461,-2.65,-5.07,-3.0,0.0,0.0,0.0,1.0,30.0,2100000000.0,-3.4838975451723955,-10.721637972727112,4.2241037060381,0.19612567719956392,-0.4455859486769037,-0.5041955569217892,-2.3312070375031766,-3.654618891114256,-3.069343985799803,,,,,,,,,
42,42,2.15,-2.22,-8.34,4.01,-0.745,-0.21,-0.4320000000000001,-1.67,-1.79,-3.27,0.0,0.0,0.0,1.0,30.0,2150000000.0,-2.7509600773132807,-8.945978306800445,4.092880724621619,-0.5190148149306753,-0.2794995960912234,-0.452046764710467,-1.9667971226042336,-2.606864964221224,-3.196212367527544,,,,,,,,,
43,43,2.2,-2.85,-10.1,4.16,0.27,0.175,-0.123,-2.35,-3.45,-3.03,0.0,0.0,0.0,1.0,30.0,2200000000.0,-2.808393531609519,-9.806373801972533,4.134017709034996,0.08054001768244877,0.04091924889760396,-0.214367403562708,-2.177991009245004,-3.08063366877316,-3.0911215741636404,,,,,,,,,
44,44,2.25,-2.73,-7.63,3.97,-0.234,-0.202,-0.392,-2.22,-0.915,-3.15,0.0,0.0,0.0,1.0,30.0,2250000000.0,-2.762932929130429,-8.183751360283194,4.033492069207834,-0.15847195008596854,-0.13033702633504093,-0.3426762172859458,-2.2011433674474903,-1.8637356084893395,-3.128348583996716,,,,,,,,,
45,45,2.3,-1.05,-7.08,4.5,0.0156,-0.11,0.218,-0.613,-0.265,-2.54,0.0,0.0,0.0,1.0,30.0,2300000000.0,-1.7695986261614247,-7.360835763895799,4.319412514527378,-0.026198543746018262,-0.11599957305997415,0.06231535095448615,-1.3258726460956929,-0.9653850122576774,-2.7563545275221992,,,,,,,,,
46,46,2.35,0.0982,-5.43,3.2,-0.524,0.222,-1.57,0.37,1.46,-3.78,0.0,0.0,0.0,1.0,30.0,2350000000.0,-0.6864573285536717,-5.92127704371632,3.633330049706903,-0.40446679992736784,0.12228762315512035,-1.1167501433394111,-0.39122928445829,0.3974707814438096,-3.4035728717557943,,,,,,,,,
47,47,2.4,0.551,-9.39,3.87,-0.29,0.439,-3.89,-0.213,-2.13,-2.67,0.0,0.0,0.0,1.0,30.0,2400000000.0,0.031147404733450238,-8.50742679465165,3.7783838427810137,-0.3174860159909905,0.34556750916999723,-3.1199434783461526,-0.2930020868387499,-1.022748392948189,-2.9397582053613527,,,,,,,,,
48,48,2.45,-2.75,-10.2,3.94,1.42,-0.706,-2.58,-4.99,-3.31,-2.7,0.0,0.0,0.0,1.0,30.0,2450000000.0,-1.5816472323766881,-9.769345633977686,3.8774376357678078,1.0027909647162891,-0.3957797711143963,-2.729927668402858,-2.8816502987202552,-2.3079851539401366,-2.7881667742088565,,,,,,,,,
49,49,2.5,-0.139,-11.2,4.26,0.311,-0.519,-0.46,-3.12,-4.71,-2.44,0.0,0.0,0.0,1.0,30.0,2500000000.0,-0.7450523370590049,-10.835987628602634,4.111908391281059,0.4771143755639405,-0.482649114961979,-1.090297623294909,-3.0130114943704256,-3.6577089435513273,-2.56803207089294,,,,,,,,,
50,50,2.55,1.55,-12.1,4.2,0.146,0.453,0.711,-1.4,-5.63,-2.55,0.0,0.0,0.0,1.0,30.0,2550000000.0,0.5858544742419819,-11.778388040413287,4.165899193572604,0.2255079179316581,0.17697658367024816,0.21082830980970504,-2.1240352454913327,-4.7659653206839865,-2.556630937816909,,,,,,,,,
51,51,2.6,2.1,-11.3,3.87,0.0632,1.03,1.44,-0.301,-4.77,-3.01,0.0,0.0,0.0,1.0,30.0,2600000000.0,1.4639113603252296,-11.421720035664475,3.984543944641878,0.10217373556612927,0.7783517505228149,1.098692255042581,-1.1193089824357405,-4.768232449396693,-2.8432817204080765,,,,,,,,,
52,52,2.65,1.35,-6.21,3.77,-0.0742,-0.317,-0.266,-0.747,0.306,-3.25,0.0,0.0,0.0,1.0,30.0,2650000000.0,1.3978538790591342,-7.536057441864088,3.853050991152421,-0.03184874436747692,0.006136882537095546,0.11293818570952675,-0.9141189651641948,-1.9169544293164276,-3.1004367080690933,,,,,,,,,
53,53,2.7,0.615,-8.49,3.58,-0.266,0.271,-0.154,-1.58,-1.94,-3.38,0.0,0.0,0.0,1.0,30.0,2700000000.0,0.9438748773500752,-8.247280997080214,3.685699317909328,-0.2097750822305974,0.19286341601791807,-0.07987847352115024,-1.2811048521309851,-1.929904071066408,-3.277195727575543,,,,,,,,,
54,54,2.75,-0.211,-8.71,4.35,-0.4320000000000001,-0.153,-0.0042,-2.4,-2.04,-2.5,0.0,0.0,0.0,1.0,30.0,2750000000.0,0.2741599250798419,-8.592266926901601,4.092845921525297,-0.37863886749945774,-0.05096772717204481,-0.02521386839644424,-1.8977596527882061,-1.991768401679082,-2.785799673443403,,,,,,,,,
55,55,2.8,0.852,-9.38,4.27,-0.333,-0.27,-0.179,-1.44,-2.56,-2.38,0.0,0.0,0.0,1.0,30.0,2800000000.0,0.6092508912315293,-9.179571191554086,4.20142278423404,-0.3439589095298367,-0.20538386389979224,-0.1362977477375118,-1.645475398422038,-2.311065186254992,-2.52922556348987,,,,,,,,,
56,56,2.85,1.12,-9.32,4.33,-0.0119,-0.29,-0.128,-1.31,-2.42,-2.2,0.0,0.0,0.0,1.0,30.0,2850000000.0,0.905435634916456,-9.28426940683043,4.280227088618159,-0.0916347233650706,-0.265037606903786,-0.1303040648690515,-1.4605853906441628,-2.3722771352612133,-2.3210667771678777,,,,,,,,,
57,57,2.9,0.0431,-9.0,2.89,0.0425,0.0489,0.355,-2.37,-2.08,-3.62,0.0,0.0,0.0,1.0,30.0,2900000000.0,0.4053649497244324,-9.07232881884624,3.428163721541477,0.010291272531841922,-0.04371392000063151,0.2202441583992562,-1.961789428704443,-2.2080427218148184,-3.1423407257987783,,,,,,,,,
58,58,2.95,0.816,-9.62,3.27,-0.0785,0.00183,0.392,-1.43,-2.6,-3.2,0.0,0.0,0.0,1.0,30.0,2950000000.0,0.6434932780386474,-9.480651786819674,3.3312259329957516,-0.057179244347523826,-0.011605793936839076,0.3443080334104424,-1.6687052115031653,-2.4282886235519308,-3.1787968748136217,,,,,,,,,
59,59,3.0,0.7020000000000001,-10.8,3.83,0.366,0.0623,0.198,-1.41,-3.75,-2.66,0.0,0.0,0.0,1.0,30.0,3000000000.0,0.6774214914909171,-10.464308380751316,3.636922089748186,0.2643852570505614,0.04049724333541313,0.2386257892576047,-1.5261254372339574,-3.1709756483164684,-2.850778222680902,,,,,,,,,
60,60,3.05,-0.45,-8.91,3.59,0.0907,-0.301,0.17,-2.54,-1.94,-3.0,0.0,0.0,0.0,1.0,30.0,3050000000.0,0.02362683360311524,-9.305474343217123,3.608163716200083,0.13240569023216134,-0.20025578181439144,0.1890555298242082,-2.0849003508370947,-2.4792742560157235,-2.9451263900259965,,,,,,,,,
61,61,3.1,0.441,-8.74,3.0,-0.135,-0.604,0.204,-1.69,-1.72,-3.5,0.0,0.0,0.0,1.0,30.0,3100000000.0,0.2656626303209164,-8.883877750614907,3.2354231279150265,-0.0707899555900744,-0.4848924441153766,0.1998503214314118,-1.8672596348615205,-2.0526280706377955,-3.2959552646697765,,,,,,,,,
62,62,3.15,2.38,-10.3,3.13,0.062,-0.241,0.285,-1.74,-1.63,-3.39,0.0,0.0,0.0,1.0,30.0,3150000000.0,1.4917724544985025,-9.939685429545564,3.170809874913602,0.0301141800482484,-0.3129500760715392,0.2613562310272213,-1.797123257608391,-1.815147790526352,-3.3554168156832294,,,,,,,,,
63,63,3.2,1.59,-9.96,4.14,0.0956,0.134,0.0722,-0.5429999999999999,-2.84,-2.25,0.0,0.0,0.0,1.0,30.0,3200000000.0,1.5487348838053805,-9.954831238374087,3.764821714152762,0.07987540056091537,0.002146417704752213,0.12472357766127333,-1.105940465760343,-2.3910256925366125,-2.656497042806255,,,,,,,,,
64,64,3.25,-0.335,-8.87,4.89,0.13,0.0831,0.0954,-2.41,-1.78,-1.56,0.0,0.0,0.0,1.0,30.0,3250000000.0,0.4563521044438571,-9.14602174549592,4.4544379396101395,0.11796396618765148,0.059218092267494735,0.1035423643220978,-1.8246445892433982,-2.0476822947422417,-1.9632169214637343,,,,,,,,,
65,65,3.3,0.402,-8.91,3.99,0.158,-0.00977,0.161,-1.6,-1.83,-2.5,0.0,0.0,0.0,1.0,30.0,3300000000.0,0.4248331830577914,-8.970052687077802,4.169786187678762,0.14838646413072226,0.01058199821891556,0.14504556501659496,-1.7008366183597996,-1.9253637713231349,-2.302607730443683,,,,,,,,,
66,66,3.35,0.204,-8.52,3.73,0.14400000000000002,0.159,0.284,-1.71,-1.43,-2.78,0.0,0.0,0.0,1.0,30.0,3350000000.0,0.2967714417499712,-8.634510656129216,3.900243380636931,0.14505328280294344,0.1152155856452017,0.24541611239331615,-1.7058868380620953,-1.6470123165264834,-2.6044476082901618,,,,,,,,,
67,67,3.4,0.237,-8.68,3.74,-0.0308,0.0941,0.158,-1.5,-1.56,-2.77,0.0,0.0,0.0,1.0,30.0,3400000000.0,0.262109828716774,-8.668426029132666,3.802030996665944,0.01142628112119798,0.10032925317060627,0.18227309911335465,-1.5924167810119938,-1.598118918067977,-2.7091210898589466,,,,,,,,,
68,68,3.45,0.431,-9.29,4.89,-0.168,-0.022000000000000002,0.0502,-1.22,-2.08,-1.55,0.0,0.0,0.0,1.0,30.0,3450000000.0,0.36004967642643554,-9.131848197016463,4.468841833567282,-0.1249157609895044,0.014088036313229246,0.08687313346569951,-1.3871673802285558,-1.8688941998315811,-1.9762457882583495,,,,,,,,,
69,69,3.5,-1.06,-10.1,4.71,0.00458,0.0562,-0.00298,-2.68,-2.79,-1.66,0.0,0.0,0.0,1.0,30.0,3500000000.0,-0.4634408032179521,-9.853666086317515,4.616646526037999,-0.026514809893094904,0.04377665961288811,0.021969788727175418,-2.099684023241926,-2.3864756552682396,-1.7762936483090612,,,,,,,,,
70,70,3.55,-0.244,-9.28,4.49,0.16,0.0458,0.11,-1.83,-2.02,-1.91,0.0,0.0,0.0,1.0,30.0,3550000000.0,-0.336186510414658,-9.42596200943283,4.539025344971548,0.11521364671439213,0.04520309989400882,0.08555638703274729,-1.9510535574909953,-2.1805481486465785,-1.860831886104292,,,,,,,,,
71,71,3.6,0.158,-8.88,3.46,0.193,0.0489,0.145,-1.36,-1.66,-3.0,0.0,0.0,0.0,1.0,30.0,3600000000.0,-0.04960645928170199,-9.018913335670435,3.877695974398024,0.17432177082397798,0.04780938760162395,0.12849411085752638,-1.6253072402604631,-1.8880452713589368,-2.581091527659118,,,,,,,,,
