,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
24,24,1.42,-3.78,-2.5,7.25,-0.542,1.27,-1.71,-3.17,-1.44,0.899,1420000000.0,-3.813104174982864,-1.2806859560331267,7.290401614561041,-1.1211743458852188,1.02220640590794,-1.7837871926340518,-2.0765482953542573,-1.1964507416459524,-0.10956328513214264,,,,,,,,,
25,25,1.47,-6.65,-3.23,9.46,-1.45,1.97,-3.4,-1.38,-0.0192,0.146,1470000000.0,-5.627369263686273,-2.537817007326937,8.632666971425877,-1.3401970021829537,1.6476173271381311,-2.8723546194917353,-1.664375684789784,-0.4394050068431735,0.04456814191791264,,,,,,,,,
26,26,1.52,-5.41,-1.74,7.07,-0.4270000000000001,1.67,-2.17,-4.01,2.81,0.653,1520000000.0,-5.488356147108984,-2.0232972897562687,7.665891974336812,-0.7319390859799471,1.6623867251158249,-2.399297959358916,-3.0523658522660604,1.6501652712992445,0.41151627708071997,,,,,,,,,
27,27,1.57,-8.42,-1.25,8.41,-0.368,1.73,-1.62,-3.94,2.78,0.0883,1570000000.0,-7.363214930263974,-1.5245905634949786,8.12624915792498,-0.4895282745705426,1.7070020205225458,-1.8744176247511504,-3.5776108459268947,2.3767195312714384,0.2165830069753681,,,,,,,,,
28,28,1.62,-8.02,-2.37,6.56,-1.49,0.862,-0.517,-3.59,3.02,-1.02,1620000000.0,-7.783245515364474,-2.0698030205181386,7.1572578280770704,-1.1559177196309538,1.149419138980372,-0.9601565226613458,-3.5849419019341227,2.790389027363456,-0.5292060530333005,,,,,,,,,
29,29,1.67,-9.62,-2.03,5.7,0.109,0.5660000000000001,0.212,-4.74,2.81,0.006679999999999999,1670000000.0,-8.957895352329857,-2.044133658179778,6.2556960766485235,-0.3133873551796749,0.7644442858306544,-0.17067426765345595,-4.268431068745397,2.8030000704977915,-0.20601063489002586,,,,,,,,,
30,30,1.72,-7.42,-3.9,6.58,-0.279,-0.28600000000000003,0.581,-2.51,2.22,-0.602,1720000000.0,-7.97437329593534,-3.2409994529115465,6.456333122781626,-0.29048279889837714,0.07129830856674801,0.33560067286243234,-3.227904334410315,2.4280946405588484,-0.44483369637932896,,,,,,,,,
31,31,1.77,-7.67,-3.26,5.68,0.0891,-0.944,1.2,-1.06,-0.407,-1.68,1770000000.0,-7.779719095771107,-3.253253079046205,5.9760390392390645,-0.03765209510875367,-0.5986562457300024,0.9177993433687897,-1.9450775549962664,0.6049517576501766,-1.1897683157504155,,,,,,,,,
32,32,1.82,-2.96,-6.59,5.74,0.428,1.12,-0.317,3.35,0.21,1.76,1820000000.0,-4.6973895817505165,-5.405152783663559,5.8300086360943375,0.2725072352062187,0.5354159437806456,0.08612528394259555,1.1882096833647842,0.3509731121501662,0.5892509282932454,,,,,,,,,
33,33,1.87,-9.96,-6.21,4.74,0.8340000000000001,0.7959999999999999,0.8740000000000001,-8.6,-3.24,-3.45,1870000000.0,-8.062959096613548,-5.924206380179228,5.155652901766836,0.6465036542348266,0.7073648925181818,0.6167823309870925,-4.603825261614655,-1.9582468284289531,-1.8468404768005309,,,,,,,,,
