,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
20,20,1.000985282,-6.169294834,-5.088337421,9.974780082999999,1.143499709,-0.008792400359999999,1.545269966,2.092156887,1.14130372,-1.02446723,0.9168053865,0.8674794436,0,0,0,1,,,,-5.987978135014164,-4.8707274873963655,9.489578749287055,-0.9748590268392904,1.048072120757095,0.677487226659186,-0.23805668381659464,1.5224104686033753,2.0898999392222883,,,,,,,,,
21,21,1.050985282,-4.584349155,-4.690829754,8.538488388,1.193499709,0.16619634630000002,0.7113518715,0.2178888321,1.19130372,-2.7860744,2.1037578580000003,0.8336538076000001,0,0,0,1,,,,-5.2391979848675145,-4.743793659679938,9.03952324403319,-2.419746976765129,1.8070530153540425,0.7950062938211384,0.048078117514417484,0.9425910442179528,0.7493084429765342,,,,,,,,,
22,22,1.100985282,-7.016952515,-6.840780735,7.784450054,1.243499709,0.6952905655,0.5697345734,-1.6262342930000002,1.24130372,-2.779355049,0.3417690396,0.8683957458,0,0,0,1,,,,-6.187559213576153,-6.223404274750497,8.445623209268705,-2.7066225069617302,0.7535931615283415,0.8502336022281828,0.5061823033384598,0.6760388800730524,-0.95187397985613,,,,,,,,,
23,23,1.150985282,-7.016952515,-6.840780735,7.784450054,1.293499709,0.6952905655,0.5697345734,-1.6262342930000002,1.29130372,-0.3453577757,-0.3693335354,0.538461864,0,0,0,1,,,,-6.630007502645936,-6.6590181966708295,8.132756387659825,-0.8229354493889051,-0.05373034274587907,0.6156179526151915,0.6400352394751788,0.6000427656800932,-1.434799373696796,,,,,,,,,
24,24,1.200985282,-5.688038349,-7.200003147,0.4462614357,1.343499709,0.6952905655,0.5697345734,-1.6262342930000002,1.34130372,1.5930132869999998,1.564227104,-0.02412846684,0,0,0,1,,,,-6.127504480519702,-7.040731124089586,4.495510642928694,1.1043754977700908,1.1094934717375484,0.13419355334305064,0.6791455752172371,0.5783756769083503,-1.5718904539278211,,,,,,,,,
25,25,1.250985282,-6.870691299,-8.435297966,3.750151396,1.393499709,2.001726151,-0.8329911231999999,0.6835052967,1.39130372,0.6310052276,0.7882983684999999,-0.1217876747,0,0,0,1,,,,-6.5239650452056095,-8.024721882540293,4.1428070027280866,0.7267467466970561,0.8785715807179952,-0.058438410196037766,1.615282850584662,-0.4305993694671186,0.043251866784959965,,,,,,,,,
26,26,1.300985282,-3.83270359,-5.131408215,13.63789272,1.443499709,-1.15610218,-0.9267683029,-3.105736017,1.44130372,-0.1200314835,-0.02489202656,0.2028012872,0,0,0,1,,,,-5.088284259525512,-5.983232134601277,8.63587703637559,0.05123367453829575,0.22903015705734345,0.13815067658419272,-0.3463343698983006,-0.7853066451376982,-2.211812947205169,,,,,,,,,
27,27,1.350985282,-5.015356064,-7.698009491,1.241276741,1.493499709,-1.15610218,-0.9267683029,-3.105736017,1.49130372,-0.531437099,-0.06948387622999999,-0.1958529055,0,0,0,1,,,,-5.049379972062546,-7.193159848893269,5.1367557038949325,-0.41358900305715,0.014414727502230138,-0.11319496439824984,-0.9194970535478372,-0.8864364738312762,-2.851972432052805,,,,,,,,,
28,28,1.400985282,-9.662218094,-7.30768013,0.3792623878,1.543499709,-1.15610218,-0.9267683029,-3.105736017,1.54130372,-0.01229330152,-0.4797441661,-0.1175117418,0,0,0,1,,,,-7.510145367818527,-7.273964077763617,2.8855121360551186,-0.0934573764638521,-0.3408587652019126,-0.11644344209565866,-1.0869688000731128,-0.9152693818460828,-3.0336985463081563,,,,,,,,,
29,29,1.450985282,-8.52981472,-7.223931789,0.489631325,1.593499709,2.473069668,0.9970855713,0.17053341870000002,1.59130372,0.06818582863,-0.17264071109999998,-1.543840051,0,0,0,1,,,,-8.054098351010419,-7.238661854954307,1.7517824791194052,0.03549267701380787,-0.21991909094516565,-1.1905933457394469,1.4328661149290083,0.4518581624453774,-0.7390721373791349,,,,,,,,,
