,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
46,46,2.35,0.74,-6.12,-0.213,-0.823,1.69,-1.3,5.58,-0.675,-6.77,0,1,0,0,2350000000.0,-4.200543558,-7.5788359970000005,1.2030270809999999,-0.645574739,0.93235598,-0.943324635,0.967815779,-2.338597241,-5.788112898,,,,,,,,,
47,47,2.4,-5.24,-9.53,-0.687,-0.192,2.67,-3.21,-0.36200000000000004,-3.41,-6.59,0,1,0,0,2400000000.0,-4.558334474,-8.500534877,0.397948377,-0.291056248,1.9626254109999999,-2.682878646,0.45614132399999996,-2.8354989039999996,-6.18421988,,,,,,,,,
48,48,2.45,-4.6,-8.86,0.52,-0.9620000000000001,0.225,-1.19,-0.09699999999999999,-1.84,-4.64,0,1,0,0,2450000000.0,-4.572676119,-8.670340352,0.44993765799999996,-0.8154725159999999,0.932367055,-1.537172943,0.24330861899999998,-2.373800443,-5.421423955,,,,,,,,,
49,49,2.5,-2.03,-5.67,-0.292,-1.24,-0.258,-1.21,2.17,1.83,-5.01,0,1,0,0,2500000000.0,-3.6974623139999996,-7.253027072999999,0.133900804,-1.1472873940000001,0.22658456600000002,-1.286084967,0.9846434909999999,-0.424136539,-5.218193626000001,,,,,,,,,
50,50,2.55,-3.14,-7.42,0.8909999999999999,-1.36,-0.18600000000000003,-1.45,0.425,0.6729999999999999,-3.35,0,1,0,0,2550000000.0,-3.5055784119999998,-7.331902478,0.456395879,-1.313545677,-0.018041633,-1.41188116,0.7693089470000001,0.08470004099999999,-4.29536492,,,,,,,,,
51,51,2.6,-1.12,-8.76,1.43,-0.821,0.139,-1.81,1.8,-0.19699999999999998,-2.35,0,1,0,0,2600000000.0,-2.684439173,-8.006513262,0.871113699,-0.928567099,0.07507018,-1.717416361,1.165888888,-0.045948499000000004,-3.3344160310000004,,,,,,,,,
52,52,2.65,-6.39,-11.5,0.0838,-0.501,0.434,-2.0,-4.28,-2.58,-3.37,0,1,0,0,2650000000.0,-3.959929124,-9.656781127999999,0.5357484,-0.594376425,0.287883844,-1.934284423,-0.9295309490000001,-1.221206128,-3.3519933319999997,,,,,,,,,
53,53,2.7,-3.69,-13.3,4.78,0.095,0.158,-0.685,-2.19,-4.18,1.52,0,1,0,0,2700000000.0,-3.86701692,-11.37778018,2.34363614,-0.055553009,0.21087420399999998,-0.975524416,-1.414522826,-2.593453288,-0.945382479,,,,,,,,,
54,54,2.75,-3.63,-14.3,4.56,1.45,0.191,-0.154,-2.28,-5.28,1.0,0,1,0,0,2750000000.0,-3.785433435,-12.75819068,3.287721724,1.121202118,0.199090557,-0.34504768700000005,-1.747533276,-3.839436197,0.015575036,,,,,,,,,
55,55,2.8,-1.83,-13.5,0.36200000000000004,2.14,-0.853,0.275,-0.547,-4.85,-4.04,0,1,0,0,2800000000.0,-3.112354285,-13.10860967,2.0414769919999998,1.917504679,-0.424706184,0.130806266,-1.285602962,-4.308121519,-1.98775095,,,,,,,,,
56,56,2.85,2.69,-13.9,-0.797,1.3,-3.14,0.595,3.71,-5.75,-6.14,0,1,0,0,2850000000.0,-1.115127611,-13.48244976,0.832395164,1.434856891,-2.034635588,0.487050535,0.6365598720000001,-4.976844603,-4.038830798999999,,,,,,,,,
57,57,2.9,0.0287,-17.1,2.85,1.76,-0.6759999999999999,1.2,0.815,-9.39,-3.15,0,1,0,0,2900000000.0,-0.721411047,-15.19132344,1.691817045,1.688991946,-1.229084717,1.034201743,0.7052184459999999,-7.023604548,-3.599776498,,,,,,,,,
58,58,2.95,1.04,-9.01,0.177,1.45,-0.0153,1.2,2.16,-1.92,-6.5,0,1,0,0,2950000000.0,-0.115116284,-12.27136415,1.04656335,1.50219352,-0.509417616,1.161443211,1.2649761370000001,-4.656624078,-5.032395327,,,,,,,,,
59,59,3.0,0.426,-2.45,0.9740000000000001,0.812,-0.6459999999999999,1.22,1.9,4.14,-6.14,0,1,0,0,3000000000.0,0.071141192,-7.631907127000001,1.015654149,0.962731435,-0.590398919,1.206382485,1.509314853,-0.576872854,-5.579516995,,,,,,,,,
60,60,3.05,1.1,-2.49,-1.85,0.0589,-1.59,0.499,2.51,3.82,-9.23,0,1,0,0,3050000000.0,0.425284386,-5.202951553,-0.205004115,0.256287865,-1.183074067,0.6635036879999999,1.894349408,1.462335285,-7.3827401020000005,,,,,,,,,
61,61,3.1,2.32,-4.56,-0.5670000000000001,-0.971,-0.593,0.0404,3.33,1.87,-7.91,0,1,0,0,3100000000.0,1.077463865,-4.899231384,-0.35920040299999995,-0.7029724540000001,-0.8332122740000001,0.185304418,2.446745999,1.651404483,-7.643189767000001,,,,,,,,,
62,62,3.15,-0.0455,-8.84,5.75,-1.37,0.691,-0.428,0.932,-1.96,-1.17,0,1,0,0,3150000000.0,0.690928805,-6.760788205,2.2430835819999997,-1.224327771,0.070510934,-0.285374429,1.863915758,-0.023514452999999998,-4.445638405,,,,,,,,,
63,63,3.2,-5.1,-14.4,9.66,0.524,0.6409999999999999,0.08800000000000001,-4.05,-7.23,3.02,0,1,0,0,3200000000.0,-1.302365055,-10.36943082,5.402404138,0.14218246,0.408760532,0.0011707830000000001,-0.411587208,-3.365781725,-0.7578487859999999,,,,,,,,,
64,64,3.25,-5.82,-4.55,-0.33,0.688,1.19,1.04,-4.13,2.32,-7.13,0,1,0,0,3250000000.0,-2.857378904,-7.620423858,2.9606208389999997,0.568798854,0.871966549,0.7984174740000001,-1.8423244159999999,-0.728795669,-3.905490328,,,,,,,,,
65,65,3.3,6.31,-9.96,11.7,-1.27,0.863,-0.7909999999999999,8.92,-2.95,5.39,0,1,0,0,3300000000.0,0.29812186,-8.725602632000001,6.683259552999999,-0.868424462,0.866650163,-0.42137674700000005,2.298705235,-1.7589592109999999,0.6861883040000001,,,,,,,,,
