,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
27,27,1.4,-5.85,-1.08,4.91,0.993,1.37,0.795,-2.76,-1.66,-4.38,,,,,140,1400000000.0,-9.174254977669237,-4.233649283681415,5.553774995046046,1.6215388298816196,0.950982298242518,0.3285746966649265,-6.533953558278265,-3.7817205967973435,-3.702382534488935,,,,,,,,,
28,28,1.45,-1.69,0.362,2.12,1.56,1.06,-0.0164,1.96,-0.8759999999999999,-6.89,,,,,140,1450000000.0,-6.356811476419767,-1.6908228590183167,4.191601026398832,1.5812384025110784,0.9868040419141676,0.12480579197115745,-3.3451298779737764,-2.0710837840761163,-5.034312243358898,,,,,,,,,
29,29,1.5,-1.89,0.18,-0.208,0.467,0.805,0.466,2.22,-1.56,-8.94,,,,,140,1500000000.0,-4.675282835338328,-0.655674713858124,2.4462852135242072,0.8515488416337114,0.9270656613946406,0.3263416403075887,-1.2558533321710854,-1.770201851243764,-6.6662838559871584,,,,,,,,,
30,30,1.55,0.373,-2.31,1.21,-1.87,-0.8440000000000001,1.76,4.4,-4.07,-7.56,,,,,140,1550000000.0,-2.774859639346522,-1.571032187393144,1.9558525468443864,-0.9307320344873397,0.3451171173537113,1.17317184110897,0.8674828901675875,-3.124124060986076,-7.03971858271713,,,,,,,,,
31,31,1.6,-5.44,-3.31,6.7,-2.03,-1.06,1.65,-2.02,-4.47,-2.42,,,,,140,1600000000.0,-3.778150231410263,-2.5332233595408122,3.837849386546828,-1.650617780526524,-0.11658560410214636,1.4548236483945722,-0.2165439592071392,-3.916459208440948,-5.1093926732806185,,,,,,,,,
32,32,1.65,-15.0,-8.49,2.65,-1.55,0.202,0.517,-11.9,-9.09,-6.64,,,,,140,1650000000.0,-8.002609184069247,-5.829177329891253,3.3666311699980938,-1.5847254371820276,-0.011902622268560885,0.9008720239756705,-4.602779373787801,-6.962192360389601,-5.748949113376587,,,,,,,,,
33,33,1.7,-19.0,-10.2,8.11,-3.7,-1.47,1.26,-16.0,-9.8,-1.22,,,,,140,1700000000.0,-12.142570691867098,-8.24760446383409,5.2483190704111005,-2.9699710082933315,-0.4910139787312585,1.1130009513041743,-8.881555636236623,-8.632848006310503,-3.856550745664768,,,,,,,,,
34,34,1.75,-13.5,-9.36,6.51,-3.4,-1.54,1.39,-11.3,-7.49,-2.85,,,,,140,1750000000.0,-12.653574181629994,-8.863105718056806,5.748826289435015,-3.2515873456525513,-0.8356967791390981,1.2766181393806812,-9.78949481642911,-7.960037875850568,-3.4359685900836223,,,,,,,,,
35,35,1.8,-5.7,-6.4,4.51,-2.47,0.0476,-0.37,-3.77,-3.17,-4.55,,,,,140,1800000000.0,-10.035905070380457,-7.500240605188516,5.257385657022491,-2.7397434630689768,-0.545457240477923,0.30399730994699203,-7.529639325446763,-5.140078184277591,-3.90146103506229,,,,,,,,,
36,36,1.85,-1.49,-0.73,4.18,-1.87,0.225,-0.8540000000000001,0.418,3.58,-4.42,,,,,140,1850000000.0,-6.818803978552519,-3.7541874048931088,4.829988147509118,-2.1701681144913314,-0.29229527124155896,-0.3800060099394975,-4.545914463256637,-0.0064508934537146345,-4.118129939228666,,,,,,,,,
