Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
5.20E+00,2.84E+00,2.81E+00,-4.47E+00,-2.12E+00,1.21E+00,-2.51E+00,3.96E+00,1.21E+01,-7.41E+00,,,,,150,5.20E+09
5.25E+00,-1.49E+00,5.26E+00,1.15E+01,1.12E+00,-1.54E+00,-1.64E+00,-1.34E+00,1.48E+01,9.15E+00,,,,,150,5.25E+09
5.30E+00,9.36E-01,-8.51E+00,-4.88E+00,2.25E+00,1.54E+00,1.35E+00,4.33E-01,6.12E-01,-8.45E+00,,,,,150,5.30E+09
5.35E+00,5.44E+00,-5.39E-01,4.81E+00,-2.54E+00,3.40E+00,1.24E+00,6.40E+00,8.70E+00,1.67E+00,,,,,150,5.35E+09
5.40E+00,1.01E+01,-1.21E+01,-1.46E+01,-6.55E-01,-5.88E-01,-1.43E+00,1.11E+01,-2.87E+00,-1.76E+01,,,,,150,5.40E+09
5.45E+00,8.92E+00,-3.35E+01,4.03E+00,-2.24E+00,-7.24E-01,-3.21E+00,8.78E+00,-2.39E+01,1.89E+00,,,,,150,5.45E+09
5.50E+00,-8.17E+00,-2.64E+01,-1.69E+00,-3.76E+00,3.37E-01,-1.34E+00,-9.66E+00,-1.67E+01,-2.48E+00,,,,,150,5.50E+09
5.55E+00,-3.53E+00,-1.48E+01,2.15E+01,-3.25E+00,2.63E+00,-2.49E-01,-5.26E+00,-5.21E+00,2.23E+01,,,,,150,5.55E+09
5.60E+00,-3.88E+00,-4.63E+00,6.27E+00,-3.41E-01,2.83E-01,-8.06E-01,-6.07E+00,4.80E+00,7.86E+00,,,,,150,5.60E+09
5.65E+00,-5.85E+00,1.48E-01,4.02E+00,1.28E+00,8.31E-01,1.11E+00,-8.13E+00,9.60E+00,5.28E+00,,,,,150,5.65E+09
5.70E+00,3.97E-01,2.85E-01,6.85E-01,1.59E+00,-7.15E-02,2.18E+00,-1.06E+00,9.97E+00,1.19E+00,,,,,150,5.70E+09
5.75E+00,2.93E+00,-2.52E+00,-3.57E+00,2.63E+00,9.29E-02,1.03E+00,2.37E+00,7.26E+00,-4.05E+00,,,,,150,5.75E+09
5.80E+00,-8.71E+00,-4.64E+01,-1.24E-01,2.41E+00,-3.09E+00,3.30E+00,-8.70E+00,-3.68E+01,-1.88E+00,,,,,150,5.80E+09
5.85E+00,-3.98E+00,-2.54E+01,-2.06E-01,2.04E+00,2.60E+00,2.35E+00,-2.24E+00,-1.61E+01,-2.74E+00,,,,,150,5.85E+09
5.90E+00,3.81E-01,-7.02E+00,-3.05E+00,1.59E-01,-1.64E+00,1.48E+00,3.16E+00,1.84E+00,-6.22E+00,,,,,150,5.90E+09
5.95E+00,6.04E+00,6.80E-01,-7.15E+00,-6.89E-01,-2.08E+00,-1.03E+00,8.65E+00,9.50E+00,-1.06E+01,,,,,150,5.95E+09
6.00E+00,1.26E+00,4.87E+00,1.35E+00,-1.25E+00,1.05E+00,-2.17E+00,2.96E+00,1.41E+01,-1.50E+00,,,,,150,6.00E+09
6.05E+00,-6.68E+00,2.46E+00,1.01E+01,1.22E+00,-2.60E+00,-5.00E-02,-5.75E+00,1.18E+01,7.29E+00,,,,,150,6.05E+09
6.10E+00,-9.34E-01,-5.26E+00,-7.64E-01,-1.12E+00,4.96E+00,1.76E+00,6.85E-01,3.87E+00,-3.94E+00,,,,,150,6.10E+09
6.15E+00,7.76E+00,-9.44E+00,-2.16E+01,3.09E+00,-2.63E+00,-8.89E-01,1.04E+01,-3.61E-01,-2.43E+01,,,,,150,6.15E+09
6.20E+00,8.87E+00,-3.08E+01,-1.81E+00,-3.03E+00,2.38E+00,-3.66E+00,1.03E+01,-2.15E+01,-4.25E+00,,,,,150,6.20E+09
6.25E+00,-1.56E-01,-2.85E+01,-9.98E+00,-1.91E+00,-3.40E+00,-2.64E+00,-1.41E-01,-1.88E+01,-1.17E+01,,,,,150,6.25E+09
6.30E+00,-1.23E+01,-2.22E+01,7.97E+00,-3.32E+00,2.49E+00,-3.37E-01,-1.33E+01,-1.24E+01,7.91E+00,,,,,150,6.30E+09
6.35E+00,-2.05E+00,-8.59E+00,9.22E+00,-1.66E+00,-1.62E+00,-1.88E+00,-3.50E+00,1.03E+00,1.04E+01,,,,,150,6.35E+09
